ID,Length,ATYPE,AB LINKCLASS,BA LINKCLASS,AM_AB_VMT,AM_BA_VMT,AM_AB_Spd,AM_BA_Spd,MD_AB_VMT,MD_BA_VMT,MD_AB_Spd,MD_BA_Spd,PM_AB_VMT,PM_BA_VMT,PM_AB_Spd,PM_BA_Spd,NT_AB_VMT,NT_BA_VMT,NT_AB_Spd,NT_BA_Spd
5949,0.517879,2,3,3,351.738006,793.282802,31.897734,38.811972,1706.678339,1977.190653,31.470043,41.621854,897.654075,439.127231,26.995553,42.085843,1372.124809,827.5071,32.596041,43.432865
5953,0.278562,2,3,3,792.632172,529.390606,31.522251,40.146858,1695.323751,1474.072051,35.699553,41.886765,422.343949,807.702435,35.807821,37.195426,669.39581,958.721594,37.449164,43.268879
5955,0.255754,2,3,3,617.547656,1129.493561,32.592175,30.555172,2797.085298,3109.435632,31.783081,36.373594,1392.948136,676.790796,22.760857,38.087423,1664.941194,1131.352993,36.228911,43.069016
5956,0.248502,2,3,3,1100.810592,595.613702,25.178174,38.459049,3017.499819,2705.075727,30.620006,37.55271,652.452387,1356.809862,32.235261,27.715907,1091.406541,1617.782577,36.547116,42.507965
5958,0.249738,2,3,3,574.057676,1182.804453,38.808617,24.093457,2477.995342,3000.031659,38.41261,30.756195,1272.02271,676.304807,29.023737,32.000195,1645.9702,1054.232702,42.482781,36.605408
5959,0.258884,2,3,3,562.613943,327.207699,39.244693,35.805232,1719.734968,1403.98244,41.015763,35.692974,558.05573,601.368626,39.707464,33.356844,577.974817,775.302959,43.453882,36.991242
5960,0.259582,2,4,4,163.955458,286.86193,39.732517,10.976053,763.75962,854.774608,38.822792,15.671614,370.431125,219.325722,30.903371,15.70147,504.899913,380.528253,42.588669,24.449248
5961,0.24655,2,4,4,26.35467,33.961358,31.644627,22.764355,95.017662,118.346472,31.668075,22.804509,38.514508,45.344918,31.556176,22.679457,43.273188,44.667545,31.742194,22.896785
5962,0.180292,2,4,4,20.700826,13.572974,15.889389,12.582856,58.664472,51.0125,15.920139,12.586506,16.236412,22.049282,15.91567,12.552998,23.446215,23.853317,15.947781,12.603035
5963,0.070096,2,4,4,10.347685,10.956301,31.555959,13.340267,34.44632,30.788813,31.620192,13.408566,15.498268,11.296348,31.377099,13.347121,14.117448,13.562746,31.739865,13.456692
5970,0.117519,2,3,3,172.357774,121.629169,42.699857,44.919053,422.977364,412.062023,45.611984,45.702254,135.948326,193.99455,44.651386,42.17037,126.111447,170.194415,47.464274,47.398687
5971,0.022331,2,3,3,22.291773,35.513392,45.084541,41.987602,80.659022,86.21038,45.599427,45.348646,41.015042,25.625746,41.12429,44.692718,36.334429,25.261837,47.361363,47.455252
5973,0.073381,2,3,3,100.895038,28.217019,25.903468,13.493608,289.427349,151.98866,27.268816,13.346225,64.910556,97.20683,27.586476,11.374096,128.978315,70.834934,28.492327,13.648987
5974,0.120236,2,3,3,161.275592,302.678352,45.530018,13.892341,697.979323,929.38837,45.3389,15.987671,346.493092,288.434256,40.634559,14.741556,454.182788,416.988918,47.119654,18.727273
5977,0.24941,2,3,3,452.021642,554.344098,31.445546,29.244099,1402.004608,1517.157328,33.612745,33.101254,671.037908,592.206956,27.476305,29.134459,677.112405,752.860838,36.624179,36.541931
5980,0.376522,2,4,4,98.454978,103.071286,24.40668,35.00417,376.043286,380.976164,24.54403,35.131164,125.139525,110.084081,23.968197,34.992849,150.710117,195.61729,25.285503,35.631113
5985,0.41193,2,3,3,397.351361,774.577326,37.71749,33.541285,1776.980564,1933.964328,37.407806,37.042266,869.730221,576.348947,32.942387,36.270599,1106.271099,800.317907,39.24498,39.430021
5988,0.242621,2,3,3,239.732024,475.576359,37.618602,39.721284,1098.365547,1192.56009,37.178656,44.158134,535.456034,334.812045,32.098153,43.593363,635.525587,467.417006,39.24995,47.290366
5991,0.197316,2,3,3,258.617172,339.69402,32.543117,37.781044,988.271066,985.636636,32.930147,40.400248,411.313931,305.708501,29.396237,39.170243,578.155038,490.503791,35.163927,43.21491
5992,0.203069,2,3,3,318.905849,290.668898,31.549406,39.334067,1043.323877,1093.963407,32.976248,39.947813,342.602076,387.51804,31.440499,37.327919,521.582605,572.607034,35.438329,43.111886
5997,0.332865,3,4,4,285.745077,225.809391,24.879876,42.428412,1048.730043,841.91199,25.506823,42.62535,290.249697,375.398598,25.121768,40.936285,435.051196,412.131261,27.7166,43.491562
5999,0.363495,3,3,3,308.871489,682.704024,45.874338,35.860618,1696.223068,2073.327044,44.726497,38.365317,851.270643,475.79046,38.819275,39.030442,1291.96833,902.411626,46.803714,41.62044
6000,0.345548,3,4,4,309.743351,160.413901,41.647272,27.419662,937.026883,716.486096,42.490969,27.264461,245.045739,357.217867,42.455822,24.380242,345.215202,390.8564,43.527806,28.125182
6001,0.124713,3,3,3,228.932653,152.702834,41.068086,31.877966,748.348829,697.303188,43.156919,31.374854,211.541238,300.120676,42.385194,27.130049,335.973696,455.867129,47.10637,33.69345
6004,0.197442,3,3,3,222.662964,262.004238,44.751101,35.134267,1048.217982,992.960251,44.000751,35.564388,374.156846,304.98371,41.332935,34.562679,531.398096,475.691136,47.107162,37.889022
6005,0.516632,3,4,4,285.114955,213.088488,44.454812,31.094509,1006.29389,871.739342,45.201826,31.133363,274.091848,351.651846,44.945329,27.074376,538.64873,520.728538,47.232924,33.657811
6014,0.162926,3,3,3,189.737799,211.901022,44.585886,43.946057,870.566876,818.905972,43.960313,44.327521,305.470019,255.576027,41.441724,43.030361,435.874579,398.733461,47.112143,47.179775
6019,0.129697,3,3,3,153.937394,169.60373,32.360853,43.91149,699.074755,656.986978,31.908341,44.282786,242.942919,206.53447,29.934764,42.912122,350.082706,320.048725,34.294594,47.173956
6024,0.260066,3,3,3,600.964468,258.171403,29.589701,41.56,1671.989882,1365.666288,33.28244,40.407625,383.123053,754.846138,34.016287,32.582569,802.903083,1189.929529,36.79371,42.504872
6028,0.22739,3,3,3,254.974703,514.304469,34.341537,35.313356,1203.16259,1430.072205,33.736367,39.233578,632.3003,339.021191,27.295531,39.804099,996.950305,707.35321,35.640032,43.066936
6031,1.069371,5,4,4,856.293387,213.191068,53.254139,55.21533,1226.73321,884.120445,55.091198,55.213461,152.722052,878.789967,55.286072,53.379194,593.100236,875.85719,55.321872,55.293211
6033,0.168159,3,3,3,162.005599,408.223331,21.192438,30.546775,1048.183242,1218.140545,20.064933,32.294605,532.994744,294.170358,15.312514,32.53622,762.77927,556.872555,21.540973,34.261804
6034,0.326316,3,3,3,778.924913,303.823252,38.917417,37.627272,2257.186029,1948.541984,41.065338,36.669133,543.325138,1008.364102,41.348813,32.456959,1037.588752,1412.039995,43.341145,37.970043
6036,0.241721,3,3,3,266.45162,593.808554,41.136302,15.95525,1547.359088,1809.179162,39.099612,19.660391,787.178018,432.949226,30.687233,20.385238,1208.032212,883.597917,42.310875,25.21236
6037,0.201302,3,3,3,281.218681,240.223049,43.466677,22.106129,1125.019132,1162.11344,43.666755,21.040691,325.938338,405.735098,42.778139,18.162192,553.702294,624.546389,47.088655,24.563974
6038,0.368149,3,3,3,427.678269,543.121099,39.40189,27.01696,2262.563986,2168.051245,37.91345,27.289475,757.922786,628.631952,35.551849,26.158498,1195.089006,1108.859676,41.46806,31.368945
6049,0.326836,3,3,3,562.021092,341.400158,41.732181,39.28744,1873.589132,1778.630375,43.491107,38.149114,505.212195,737.541631,43.14335,33.974965,889.22857,1147.165908,47.098046,40.783292
6050,0.155082,3,3,3,225.681225,289.02876,32.796479,30.898286,874.079283,908.83196,33.16002,32.93291,344.04365,303.33797,29.722683,30.979288,551.847544,482.032836,35.672668,35.794923
6061,0.090095,3,3,3,135.782861,121.950485,27.753063,28.328596,424.506728,469.163482,29.034943,28.640356,115.849788,177.245135,28.808991,26.289091,208.229916,395.99403,30.698877,30.223193
6062,0.027822,3,7,0,36.712141,0,43.85344,0,96.065033,0,45.914517,0,26.808748,0,45.650404,0,59.726618,0,47.260878,0
6066,0.256105,2,4,4,157.061073,138.46908,21.938187,33.28846,486.508493,481.747816,23.319621,33.91614,208.263697,169.148574,20.281457,32.601099,225.474062,182.123659,25.024352,35.575125
6068,0.185727,2,4,4,153.074826,117.326748,30.73899,14.193283,660.678559,554.561192,30.344591,12.864866,168.875622,208.955224,30.396119,8.626406,264.647083,310.433447,35.236733,18.623994
6069,0.158781,2,3,3,393.062031,330.234022,33.356477,27.520357,1359.877866,1278.373601,35.720076,28.15705,441.223625,473.821461,32.461084,23.624204,583.795712,650.582502,42.797738,33.316446
6070,0.249142,2,3,3,413.274823,585.3667,32.219954,28.53721,1581.190331,1861.702198,32.793239,31.427955,673.540634,596.914492,27.403273,29.017593,895.106004,767.306345,36.358918,36.518445
