ID,Length,ATYPE,AB LINKCLASS,BA LINKCLASS,AM_AB_VHT,AM_BA_VHT,AM_AB_Spd,AM_BA_Spd,MD_AB_VHT,MD_BA_VHT,MD_AB_Spd,MD_BA_Spd,PM_AB_VHT,PM_BA_VHT,PM_AB_Spd,PM_BA_Spd,NT_AB_VHT,NT_BA_VHT,NT_AB_Spd,NT_BA_Spd
8983,0.281367,2,3,3,54.10916,20.671573,17.673164,37.21254,138.047147,75.678228,21.301401,38.120946,50.351047,31.294256,18.683125,33.94701,69.973616,50.954615,26.383871,42.136217
8984,0.04222,2,3,3,3.144543,4.096527,37.101079,34.730338,11.513652,11.689467,38.018799,37.905331,4.668346,4.049201,34.00579,35.384256,7.65002,6.587776,42.134834,42.471373
8991,0.067341,2,3,3,8.559935,6.557935,21.919379,34.694891,31.147345,18.828086,22.588673,37.831293,12.910538,6.540923,19.682561,35.265538,20.341599,10.557682,25.400413,42.46186
8993,0.248887,2,3,3,16.308229,55.753687,38.097961,15.932803,63.156408,128.331465,38.537562,20.188912,31.517308,45.432141,32.608287,17.892972,33.654362,43.702692,42.725207,25.672213
8994,0.176164,2,3,3,17.787613,27.59063,34.340858,16.630569,49.375528,102.285168,37.812634,17.265525,15.515653,49.296147,36.159111,13.279914,25.810265,62.262793,42.590482,21.221033
8995,0.309005,2,3,3,21.93287,25.355549,37.488102,24.348213,62.539045,100.800207,39.944924,24.54749,20.163969,47.758083,38.537242,20.330733,43.938535,66.512196,42.642869,27.505274
9001,0.244492,2,3,3,18.30642,25.296582,32.343616,34.098593,71.537169,65.345779,32.667639,38.167263,36.876771,21.436982,27.167632,36.198888,38.610756,25.306201,36.181015,43.061445
9004,0.112492,2,3,3,11.824643,20.352845,26.282728,22.175905,45.45512,50.130794,26.716108,26.091781,24.788644,17.148972,20.99153,24.026249,24.257091,18.814563,30.478779,30.763593
9008,0.470218,2,4,4,11.0008,2.63723,31.56512,35.320244,26.807883,20.974048,33.833504,34.464617,8.04195,9.474164,33.309337,32.626282,8.114256,12.691598,35.605325,35.480758
9012,0.157654,2,4,4,6.929961,1.383319,16.896174,34.845403,18.758206,8.127653,18.834259,34.120141,5.271493,3.739001,18.479135,31.807737,5.911701,4.77233,21.153691,35.42854
9013,0.35363,2,3,3,9.077363,20.678666,37.705664,30.449072,46.292398,54.463294,36.906515,32.888262,21.548713,17.125479,33.34023,31.928881,25.112271,19.285646,39.216376,35.385644
9014,0.360938,2,4,4,3.100413,6.696845,31.156671,21.102708,9.312631,16.893615,31.416226,22.249587,3.659289,5.751886,31.029342,21.701665,2.38208,2.474452,31.739078,23.00193
9015,0.118448,2,3,3,7.313402,4.639539,32.782537,27.765203,18.462627,22.442364,36.072745,27.223251,5.933606,10.895324,34.74744,23.860447,5.844264,11.557624,39.429461,29.231816
9021,0.17958,2,3,3,17.074966,13.933316,28.865464,26.368858,44.270426,56.351229,33.030197,26.496648,13.507138,23.000508,31.595498,22.841045,18.751288,35.460458,38.776929,30.862147
