sourceTypeID,roadTypeID,roadTypeVMTFraction
11,2,0.07842385155741914
11,3,0.11486318090056884
11,4,0.16021550971657272
11,5,0.6464974578254393
21,2,0.08454534863389866
21,3,0.10149410564654338
21,4,0.19430300849362606
21,5,0.619657537225932
31,2,0.08454534863389866
31,3,0.10149410564654338
31,4,0.19430300849362606
31,5,0.619657537225932
32,2,0.08454534863389866
32,3,0.10149410564654338
32,4,0.19430300849362606
32,5,0.619657537225932
41,2,0.12746889480484863
41,3,0.11300333985469216
41,4,0.18588097560034172
41,5,0.5736467897401174
42,2,0.12746889480484863
42,3,0.11300333985469216
42,4,0.18588097560034172
42,5,0.5736467897401174
43,2,0.12746889480484863
43,3,0.11300333985469216
43,4,0.18588097560034172
43,5,0.5736467897401174
51,2,0.13638636497817236
51,3,0.13410999353435277
51,4,0.20135415338619392
51,5,0.528149488101281
52,2,0.13638636497817236
52,3,0.13410999353435277
52,4,0.20135415338619392
52,5,0.528149488101281
53,2,0.13638636497817236
53,3,0.13410999353435277
53,4,0.20135415338619392
53,5,0.528149488101281
54,2,0.13638636497817236
54,3,0.13410999353435277
54,4,0.20135415338619392
54,5,0.528149488101281
61,2,0.33317347604567826
61,3,0.12809905487583242
61,4,0.2367316005846395
61,5,0.30199586849384985
62,2,0.33317347604567826
62,3,0.12809905487583242
62,4,0.2367316005846395
62,5,0.30199586849384985
