"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,1019360
2055,117,61,547456
2055,117,54,61013.7
2055,117,53,37391.8
2055,117,52,554330
2055,117,51,11738.1
2055,117,43,7633.65
2055,117,42,10812.1
2055,117,41,5566.33
2055,117,32,541668
2055,117,31,5347140
2055,117,21,5632750
2055,117,11,19127.7
2055,116,62,2266610
2055,116,61,1246180
2055,116,54,174795
2055,116,53,101488
2055,116,52,1448450
2055,116,51,36590.8
2055,116,43,26019.5
2055,116,42,33844.3
2055,116,41,19183.2
2055,116,32,1089640
2055,116,31,10862100
2055,116,21,10371400
2055,116,11,39723.8
2055,110,62,845291
2055,110,61,922616
2055,110,54,200841
2055,110,53,66931.7
2055,110,52,1777060
2055,110,51,14210.7
2055,110,43,23324
2055,110,42,31794.3
2055,110,41,10348.4
2055,110,32,1334520
2055,110,31,11978400
2055,110,21,13732300
2055,110,11,605769
2055,107,62,6795780
2055,107,61,3649730
2055,107,54,406760
2055,107,53,249280
2055,107,52,3695550
2055,107,51,78254.3
2055,107,43,50891.3
2055,107,42,72081.3
2055,107,41,37109.1
2055,107,32,3611140
2055,107,31,35647800
2055,107,21,37551800
2055,107,11,127519
2055,106,62,18132900
2055,106,61,9969440
2055,106,54,1398360
2055,106,53,811904
2055,106,52,11587600
2055,106,51,292726
2055,106,43,208156
2055,106,42,270754
2055,106,41,153465
2055,106,32,8717140
2055,106,31,86896500
2055,106,21,82971300
2055,106,11,317791
2055,100,62,919245
2055,100,61,1002920
2055,100,54,225734
2055,100,53,74447.3
2055,100,52,1989000
2055,100,51,15577.6
2055,100,43,25605.9
2055,100,42,35641.4
2055,100,41,11587
2055,100,32,1507280
2055,100,31,13535300
2055,100,21,15523300
2055,100,11,684779
2055,98,62,3.58027e+11
2055,98,61,2.3361e+11
2055,98,54,22798500000
2055,98,53,12443800000
2055,98,52,1.93979e+11
2055,98,51,3972910000
2055,98,43,3046120000
2055,98,42,5920960000
2055,98,41,2011660000
2055,98,32,1.04332e+11
2055,98,31,9.72395e+11
2055,98,21,1.12022e+12
2055,98,11,11261100000
2055,87,62,17556900
2055,87,61,10449500
2055,87,54,7823080
2055,87,53,1518430
2055,87,52,44363800
2055,87,51,496800
2055,87,43,334445
2055,87,42,1227930
2055,87,41,384483
2055,87,32,42864500
2055,87,31,415395000
2055,87,21,491697000
2055,87,11,154808000
2055,3,62,265210000
2055,3,61,148989000
2055,3,54,6142730
2055,3,53,3900520
2055,3,52,86472000
2055,3,51,3780610
2055,3,43,1699110
2055,3,42,3368340
2055,3,41,1421080
2055,3,32,15724600
2055,3,31,104095000
2055,3,21,98295900
2055,3,11,21569200
2055,2,62,422920000
2055,2,61,205803000
2055,2,54,96564400
2055,2,53,20369400
2055,2,52,414697000
2055,2,51,16218000
2055,2,43,5976610
2055,2,42,46959900
2055,2,41,15118600
2055,2,32,350716000
2055,2,31,3640390000
2055,2,21,5083770000
2055,2,11,340558000
