"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,969324
2055,117,61,520584
2055,117,54,58034.5
2055,117,53,35566.1
2055,117,52,527263
2055,117,51,11164.9
2055,117,43,7260.23
2055,117,42,10283.2
2055,117,41,5294.02
2055,117,32,515645
2055,117,31,5090260
2055,117,21,5362130
2055,117,11,18188.4
2055,116,62,2217630
2055,116,61,1219450
2055,116,54,171497
2055,116,53,99461
2055,116,52,1420110
2055,116,51,35827.9
2055,116,43,25588.3
2055,116,42,33380.8
2055,116,41,18815.9
2055,116,32,1064070
2055,116,31,10610100
2055,116,21,10134400
2055,116,11,38787.5
2055,110,62,797448
2055,110,61,863669
2055,110,54,193628
2055,110,53,63374.1
2055,110,52,1721550
2055,110,51,13444.3
2055,110,43,22352.2
2055,110,42,30790.5
2055,110,41,10002.4
2055,110,32,1304590
2055,110,31,11761900
2055,110,21,8027670
2055,110,11,569523
2055,107,62,6462190
2055,107,61,3470580
2055,107,54,386898
2055,107,53,237108
2055,107,52,3515100
2055,107,51,74433
2055,107,43,48401.8
2055,107,42,68554.9
2055,107,41,35293.6
2055,107,32,3437650
2055,107,31,33935200
2055,107,21,35747800
2055,107,11,121257
2055,106,62,17741000
2055,106,61,9755600
2055,106,54,1371970
2055,106,53,795688
2055,106,52,11360900
2055,106,51,286623
2055,106,43,204706
2055,106,42,267046
2055,106,41,150527
2055,106,32,8512590
2055,106,31,84880400
2055,106,21,81075600
2055,106,11,310300
2055,100,62,867222
2055,100,61,938840
2055,100,54,217647
2055,100,53,70490.5
2055,100,52,1927240
2055,100,51,14739
2055,100,43,24545.3
2055,100,42,34522.2
2055,100,41,11201.6
2055,100,32,1473510
2055,100,31,13290800
2055,100,21,9074660
2055,100,11,643806
2055,98,62,3.36825e+11
2055,98,61,2.19639e+11
2055,98,54,2.1442e+10
2055,98,53,11730600000
2055,98,52,1.82853e+11
2055,98,51,3747350000
2055,98,43,2873360000
2055,98,42,5574580000
2055,98,41,1894030000
2055,98,32,98599700000
2055,98,31,9.17684e+11
2055,98,21,5.75707e+11
2055,98,11,1.06e+10
2055,87,62,16524500
2055,87,61,9860200
2055,87,54,7674330
2055,87,53,1469350
2055,87,52,43663700
2055,87,51,474276
2055,87,43,324588
2055,87,42,1180130
2055,87,41,369487
2055,87,32,42122800
2055,87,31,408138000
2055,87,21,289373000
2055,87,11,152995000
2055,3,62,250430000
2055,3,61,141048000
2055,3,54,5916440
2055,3,53,3728620
2055,3,52,83791300
2055,3,51,3599010
2055,3,43,1625300
2055,3,42,3214010
2055,3,41,1353060
2055,3,32,15475200
2055,3,31,102706000
2055,3,21,53255000
2055,3,11,20265700
2055,2,62,402131000
2055,2,61,195483000
2055,2,54,89033700
2055,2,53,19086100
2055,2,52,393596000
2055,2,51,15401000
2055,2,43,5558290
2055,2,42,43347200
2055,2,41,13969700
2055,2,32,331744000
2055,2,31,3422630000
2055,2,21,2843760000
2055,2,11,321316000
