"source","measures","dim1","dim1_value","dim2","dim2_value","Scenario","measure_name","measure_value"
"ABM","Mode Share","Mode","Auto","","","Run010","Trips",1042642
"ABM","Mode Share","Mode","Bike","","","Run010","Trips",22887
"ABM","Mode Share","Mode","SchoolBus","","","Run010","Trips",15972
"ABM","Mode Share","Mode","Taxi","","","Run010","Trips",3454
"ABM","Mode Share","Mode","Transit","","","Run010","Trips",30813
"ABM","Mode Share","Mode","Walk","","","Run010","Trips",151340
"ABM","Mode Share","Mode","Auto","","","Run010","Share",0.822851722189427
"ABM","Mode Share","Mode","Bike","","","Run010","Share",0.0180623908932782
"ABM","Mode Share","Mode","SchoolBus","","","Run010","Share",0.0126050818083384
"ABM","Mode Share","Mode","Taxi","","","Run010","Share",0.00272589234698226
"ABM","Mode Share","Mode","Transit","","","Run010","Share",0.0243175798748015
"ABM","Mode Share","Mode","Walk","","","Run010","Share",0.119437332887173
"ABM","PMT","Mode","Auto","","","Run010","TotalPMT",5082196.36
"ABM","PMT","Mode","Bike","","","Run010","TotalPMT",53594.39
"ABM","PMT","Mode","SchoolBus","","","Run010","TotalPMT",93010.24
"ABM","PMT","Mode","Taxi","","","Run010","TotalPMT",7387.71
"ABM","PMT","Mode","Transit","","","Run010","TotalPMT",240489.57
"ABM","PMT","Mode","Walk","","","Run010","TotalPMT",121476.28
"ABM","PMT","Mode","Auto","","","Run010","PMTRatio",0.907834236194855
"ABM","PMT","Mode","Bike","","","Run010","PMTRatio",0.0095735817082792
"ABM","PMT","Mode","SchoolBus","","","Run010","PMTRatio",0.0166144466304525
"ABM","PMT","Mode","Taxi","","","Run010","PMTRatio",0.00131966881836086
"ABM","PMT","Mode","Transit","","","Run010","PMTRatio",0.0429587228884204
"ABM","PMT","Mode","Walk","","","Run010","PMTRatio",0.0216993437596324
"ABM","VMT","","","","","Run010","VMT",27663791.94246
"ABM","CongestedVMT","","","","","Run010","CongestedVMT",1360740.501849
"ABM","CongestedVMTPCT","","","","","Run010","CongestedVMTPCT",0.0491885025986064
"ABM","VMT","","","","","Run010","VMTPerCapita",21.9428690631774
"ABM","VHT","","","","","Run010","VHT",621653.411812
"ABM","VHT","","","","","Run010","VHTPerCapita",0.493094346806862
"ABM","CommuteTime","Mode","Auto","","","Run010","CommuteTime",19.8216416018925
"ABM","CommuteTime","Mode","Bike","","","Run010","CommuteTime",26.4892542787286
"ABM","CommuteTime","Mode","Taxi","","","Run010","CommuteTime",4.77689655172414
"ABM","CommuteTime","Mode","Transit","","","Run010","CommuteTime",59.0100369040495
"ABM","CommuteTime","Mode","Walk","","","Run010","CommuteTime",20.6322985781991
"ABM","AverageTransitTravelTime","","","","","Run010","AverageTransitTravelTime",43.7221156654659
"ABM","HighwayLaneMiles","LINKCLASS","freeway","","","Run010","HighwayLaneMiles",612.284471
"ABM","HighwayLaneMiles","LINKCLASS","parkway","","","Run010","HighwayLaneMiles",43.900421
"ABM","HighwayLaneMiles","LINKCLASS","major_arterial","","","Run010","HighwayLaneMiles",1824.467818
"ABM","HighwayLaneMiles","LINKCLASS","minor_arterial","","","Run010","HighwayLaneMiles",2215.157417
"ABM","HighwayLaneMiles","LINKCLASS","collector","","","Run010","HighwayLaneMiles",280.388718
"ABM","HighwayLaneMiles","LINKCLASS","ramp","","","Run010","HighwayLaneMiles",103.731637
"ABM","HighwayLaneMiles","LINKCLASS","frontage_road","","","Run010","HighwayLaneMiles",172.542579
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","PK","Run010","TransitMilesPerFrequency",267.106948
"ABM","TransitMilesPerFrequency","Mode","Regular","TimePeriod","PK","Run010","TransitMilesPerFrequency",2558.7354
"ABM","TransitMilesPerFrequency","Mode","Express","TimePeriod","PK","Run010","TransitMilesPerFrequency",505.366587
"ABM","TransitMilesPerFrequency","Mode","CatTran","TimePeriod","PK","Run010","TransitMilesPerFrequency",88.314573
"ABM","TransitMilesPerFrequency","Mode","BRT","TimePeriod","PK","Run010","TransitMilesPerFrequency",169.122828
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","OP","Run010","TransitMilesPerFrequency",266.120142
"ABM","TransitMilesPerFrequency","Mode","Regular","TimePeriod","OP","Run010","TransitMilesPerFrequency",2066.744278
"ABM","TransitMilesPerFrequency","Mode","Express","TimePeriod","OP","Run010","TransitMilesPerFrequency",0
"ABM","TransitMilesPerFrequency","Mode","CatTran","TimePeriod","OP","Run010","TransitMilesPerFrequency",88.314573
"ABM","TransitMilesPerFrequency","Mode","BRT","TimePeriod","OP","Run010","TransitMilesPerFrequency",169.122828
"ABM","TransitQuarterMilePopEmp","Type","Total","","","Run010","Population",1260719
"ABM","TransitQuarterMilePopEmp","Type","Number","","","Run010","Population",487107.650071
"ABM","TransitQuarterMilePopEmp","Type","Percentage","","","Run010","Population",0.386373
"ABM","TransitQuarterMilePopEmp","Type","TotalDISADV","","","Run010","Population",609282
