"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,1074460
2055,117,61,577047
2055,117,54,64525.2
2055,117,53,39543.8
2055,117,52,586233
2055,117,51,12413.7
2055,117,43,8081.05
2055,117,42,11445.9
2055,117,41,5892.58
2055,117,32,573252
2055,117,31,5658940
2055,117,21,5961190
2055,117,11,20275.1
2055,116,62,2341300
2055,116,61,1287140
2055,116,54,183095
2055,116,53,106286
2055,116,52,1516900
2055,116,51,38388.7
2055,116,43,27196.4
2055,116,42,35371.4
2055,116,41,20147.2
2055,116,32,1143620
2055,116,31,11403600
2055,116,21,10884900
2055,116,11,41879.7
2055,110,62,904719
2055,110,61,996967
2055,110,54,209609
2055,110,53,71362.7
2055,110,52,1845870
2055,110,51,15215.8
2055,110,43,24682
2055,110,42,33029
2055,110,41,10777.1
2055,110,32,1371190
2055,110,31,12240900
2055,110,21,9522020
2055,110,11,647732
2055,107,62,7163100
2055,107,61,3847000
2055,107,54,430170
2055,107,53,263627
2055,107,52,3908240
2055,107,51,82758.3
2055,107,43,53873.9
2055,107,42,76306.3
2055,107,41,39284
2055,107,32,3821700
2055,107,31,37726400
2055,107,21,39741500
2055,107,11,135168
2055,106,62,18730400
2055,106,61,10297100
2055,106,54,1464760
2055,106,53,850288
2055,106,52,12135200
2055,106,51,307110
2055,106,43,217571
2055,106,42,282971
2055,106,41,161178
2055,106,32,9148940
2055,106,31,91229100
2055,106,21,87079200
2055,106,11,335037
2055,100,62,983865
2055,100,61,1083740
2055,100,54,235560
2055,100,53,79374.5
2055,100,52,2065530
2055,100,51,16677.4
2055,100,43,27087.2
2055,100,42,37017.2
2055,100,41,12064.1
2055,100,32,1548670
2055,100,31,13831700
2055,100,21,10763900
2055,100,11,732216
2055,98,62,3.83372e+11
2055,98,61,2.50243e+11
2055,98,54,24448400000
2055,98,53,1.3302e+10
2055,98,52,2.07361e+11
2055,98,51,4248580000
2055,98,43,3256070000
2055,98,42,6340370000
2055,98,41,2154260000
2055,98,32,1.11302e+11
2055,98,31,1.03887e+12
2055,98,21,7.59279e+11
2055,98,11,12024700000
2055,87,62,18837200
2055,87,61,11165400
2055,87,54,8012610
2055,87,53,1580140
2055,87,52,45245000
2055,87,51,526334
2055,87,43,346923
2055,87,42,1288460
2055,87,41,403737
2055,87,32,43812000
2055,87,31,424559000
2055,87,21,334639000
2055,87,11,157108000
2055,3,62,283493000
2055,3,61,158539000
2055,3,54,6455220
2055,3,53,4128510
2055,3,52,90015500
2055,3,51,4017670
2055,3,43,1796150
2055,3,42,3572250
2055,3,41,1510900
2055,3,32,16052600
2055,3,31,105861000
2055,3,21,63657200
2055,3,11,22961500
2055,2,62,448573000
2055,2,61,218268000
2055,2,54,106206000
2055,2,53,21964100
2055,2,52,441054000
2055,2,51,17226500
2055,2,43,6495940
2055,2,42,51380200
2055,2,41,16536300
2055,2,32,374874000
2055,2,31,3917850000
2055,2,21,3661540000
2055,2,11,362212000
