"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,928996
2055,117,61,498924
2055,117,54,55944
2055,117,53,34284.9
2055,117,52,508269
2055,117,51,10762.9
2055,117,43,7009
2055,117,42,9927.46
2055,117,41,5110.86
2055,117,32,497887
2055,117,31,4914960
2055,117,21,5177480
2055,117,11,17624.6
2055,116,62,1785560
2055,116,61,981267
2055,116,54,145813
2055,116,53,84967.4
2055,116,52,1211140
2055,116,51,30556.8
2055,116,43,21756
2055,116,42,28047.3
2055,116,41,16055.2
2055,116,32,934426
2055,116,31,9304310
2055,116,21,8880290
2055,116,11,34057.7
2055,110,62,791035
2055,110,61,881545
2055,110,54,193587
2055,110,53,63293.8
2055,110,52,1721850
2055,110,51,13296.2
2055,110,43,21901.2
2055,110,42,30203.9
2055,110,41,9791.39
2055,110,32,1307040
2055,110,31,11833300
2055,110,21,13134200
2055,110,11,576544
2055,107,62,6193340
2055,107,61,3326180
2055,107,54,372962
2055,107,53,228567
2055,107,52,3388480
2055,107,51,71752.9
2055,107,43,46726.9
2055,107,42,66183.4
2055,107,41,34072.6
2055,107,32,3319260
2055,107,31,32766600
2055,107,21,34516700
2055,107,11,117498
2055,106,62,14284500
2055,106,61,7850140
2055,106,54,1166500
2055,106,53,679739
2055,106,52,9689090
2055,106,51,244454
2055,106,43,174048
2055,106,42,224378
2055,106,41,128441
2055,106,32,7475410
2055,106,31,74434500
2055,106,21,71042400
2055,106,11,272462
2055,100,62,860222
2055,100,61,958266
2055,100,54,217617
2055,100,53,70414.3
2055,100,52,1927820
2055,100,51,14570.6
2055,100,43,24053.7
2055,100,42,33862.7
2055,100,41,10964.6
2055,100,32,1476280
2055,100,31,13371400
2055,100,21,14847200
2055,100,11,651743
2055,98,62,3.38858e+11
2055,98,61,2.21453e+11
2055,98,54,21651200000
2055,98,53,11733300000
2055,98,52,1.83428e+11
2055,98,51,3741580000
2055,98,43,2870050000
2055,98,42,5605970000
2055,98,41,1904260000
2055,98,32,98262400000
2055,98,31,9.18597e+11
2055,98,21,1.02692e+12
2055,98,11,1.0705e+10
2055,87,62,16566900
2055,87,61,9861690
2055,87,54,7655340
2055,87,53,1441790
2055,87,52,43306900
2055,87,51,453101
2055,87,43,321833
2055,87,42,1167020
2055,87,41,362534
2055,87,32,41743400
2055,87,31,405335000
2055,87,21,466233000
2055,87,11,151979000
2055,3,62,246885000
2055,3,61,137407000
2055,3,54,5759530
2055,3,53,3558410
2055,3,52,81361700
2055,3,51,3474550
2055,3,43,1571680
2055,3,42,3121610
2055,3,41,1314490
2055,3,32,15317400
2055,3,31,102369000
2055,3,21,94858800
2055,3,11,20590600
2055,2,62,385932000
2055,2,61,187817000
2055,2,54,98793700
2055,2,53,19639600
2055,2,52,405289000
2055,2,51,15036700
2055,2,43,5936190
2055,2,42,46991700
2055,2,41,15118400
2055,2,32,341791000
2055,2,31,3561020000
2055,2,21,4793290000
2055,2,11,322906000
