"source","measures","dim1","dim1_value","dim2","dim2_value","Scenario","measure_name","measure_value"
"ABM","Mode Share","Mode","Auto","","","Run053","Trips",981908
"ABM","Mode Share","Mode","Bike","","","Run053","Trips",19312
"ABM","Mode Share","Mode","SchoolBus","","","Run053","Trips",16507
"ABM","Mode Share","Mode","Taxi","","","Run053","Trips",2123
"ABM","Mode Share","Mode","Transit","","","Run053","Trips",17847
"ABM","Mode Share","Mode","Walk","","","Run053","Trips",138345
"ABM","Mode Share","Mode","Auto","","","Run053","Share",0.834925963528513
"ABM","Mode Share","Mode","Bike","","","Run053","Share",0.0164211822366888
"ABM","Mode Share","Mode","SchoolBus","","","Run053","Share",0.014036063337874
"ABM","Mode Share","Mode","Taxi","","","Run053","Share",0.00180520763714221
"ABM","Mode Share","Mode","Transit","","","Run053","Share",0.0151754784267909
"ABM","Mode Share","Mode","Walk","","","Run053","Share",0.117636104832991
"ABM","PMT","Mode","Auto","","","Run053","TotalPMT",4850187.52
"ABM","PMT","Mode","Bike","","","Run053","TotalPMT",48492.7
"ABM","PMT","Mode","SchoolBus","","","Run053","TotalPMT",98170.08
"ABM","PMT","Mode","Taxi","","","Run053","TotalPMT",5547.94
"ABM","PMT","Mode","Transit","","","Run053","TotalPMT",120822.78
"ABM","PMT","Mode","Walk","","","Run053","TotalPMT",113457.05
"ABM","PMT","Mode","Auto","","","Run053","PMTRatio",0.926195472619534
"ABM","PMT","Mode","Bike","","","Run053","PMTRatio",0.00926020262307245
"ABM","PMT","Mode","SchoolBus","","","Run053","PMTRatio",0.0187466326338445
"ABM","PMT","Mode","Taxi","","","Run053","PMTRatio",0.00105943881327805
"ABM","PMT","Mode","Transit","","","Run053","PMTRatio",0.0230724093375478
"ABM","PMT","Mode","Walk","","","Run053","PMTRatio",0.021665843972723
"ABM","VMT","","","","","Run053","VMT",28803449.73097
"ABM","CongestedVMT","","","","","Run053","CongestedVMT",1989585.012765
"ABM","CongestedVMTPCT","","","","","Run053","CongestedVMTPCT",0.0690745390343213
"ABM","VMT","","","","","Run053","VMTPerCapita",19.7736529308664
"ABM","VHT","","","","","Run053","VHT",712417.551625
"ABM","VHT","","","","","Run053","VHTPerCapita",0.489076743906257
"ABM","CommuteTime","Mode","Auto","","","Run053","CommuteTime",21.854942444919
"ABM","CommuteTime","Mode","Bike","","","Run053","CommuteTime",26.1803311258278
"ABM","CommuteTime","Mode","Taxi","","","Run053","CommuteTime",3.862
"ABM","CommuteTime","Mode","Transit","","","Run053","CommuteTime",60.3861581685744
"ABM","CommuteTime","Mode","Walk","","","Run053","CommuteTime",21.9455124892334
"ABM","AverageTransitTravelTime","","","","","Run053","AverageTransitTravelTime",44.9945761192357
"ABM","HighwayLaneMiles","LINKCLASS","freeway","","","Run053","HighwayLaneMiles",608.017799
"ABM","HighwayLaneMiles","LINKCLASS","parkway","","","Run053","HighwayLaneMiles",43.900421
"ABM","HighwayLaneMiles","LINKCLASS","major_arterial","","","Run053","HighwayLaneMiles",1808.476947
