"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,893810
2055,117,61,480027
2055,117,54,53752
2055,117,53,32941.5
2055,117,52,488354
2055,117,51,10341.1
2055,117,43,6733.83
2055,117,42,9537.72
2055,117,41,4910.22
2055,117,32,478580
2055,117,31,4724370
2055,117,21,4976710
2055,117,11,16943.3
2055,116,62,1673510
2055,116,61,919449
2055,116,54,137165
2055,116,53,79994
2055,116,52,1139830
2055,116,51,28737.5
2055,116,43,20646.1
2055,116,42,26553.5
2055,116,41,15101.9
2055,116,32,881825
2055,116,31,8773640
2055,116,21,8378820
2055,116,11,32138.9
2055,110,62,763943
2055,110,61,853268
2055,110,54,189737
2055,110,53,61327.7
2055,110,52,1691610
2055,110,51,12831.9
2055,110,43,21212.5
2055,110,42,29484.6
2055,110,41,9541.61
2055,110,32,1290410
2055,110,31,11727100
2055,110,21,8848020
2055,110,11,558200
2055,107,62,5958760
2055,107,61,3200200
2055,107,54,358348
2055,107,53,219611
2055,107,52,3255710
2055,107,51,68941.3
2055,107,43,44892.4
2055,107,42,63585.1
2055,107,41,32734.9
2055,107,32,3190550
2055,107,31,31496000
2055,107,21,33178200
2055,107,11,112956
2055,106,62,13388100
2055,106,61,7355590
2055,106,54,1097320
2055,106,53,639952
2055,106,52,9118600
2055,106,51,229900
2055,106,43,165169
2055,106,42,212428
2055,106,41,120815
2055,106,32,7054600
2055,106,31,70189200
2055,106,21,67030600
2055,106,11,257112
2055,100,62,830758
2055,100,61,927528
2055,100,54,213306
2055,100,53,68231.3
2055,100,52,1894250
2055,100,51,14061
2055,100,43,23302.4
2055,100,42,33059
2055,100,41,10685.8
2055,100,32,1457500
2055,100,31,13251500
2055,100,21,10002000
2055,100,11,631006
2055,98,62,3.27834e+11
2055,98,61,2.14227e+11
2055,98,54,20955200000
2055,98,53,11342200000
2055,98,52,1.77451e+11
2055,98,51,3615780000
2055,98,43,2772860000
2055,98,42,5424090000
2055,98,41,1842930000
2055,98,32,94996700000
2055,98,31,8.88432e+11
2055,98,21,6.32182e+11
2055,98,11,10382200000
2055,87,62,16029500
2055,87,61,9542470
2055,87,54,7567450
2055,87,53,1407610
2055,87,52,42827200
2055,87,51,435014
2055,87,43,315719
2055,87,42,1138260
2055,87,41,352491
2055,87,32,41223500
2055,87,31,400502000
2055,87,21,311104000
2055,87,11,150724000
2055,3,62,238417000
2055,3,61,132404000
2055,3,54,5592270
2055,3,53,3419230
2055,3,52,79246400
2055,3,51,3341450
2055,3,43,1519630
2055,3,42,3017420
2055,3,41,1266730
2055,3,32,15130500
2055,3,31,101482000
2055,3,21,60432600
2055,3,11,20008400
2055,2,62,371668000
2055,2,61,180654000
2055,2,54,97012500
2055,2,53,19069200
2055,2,52,396494000
2055,2,51,14490500
2055,2,43,5802080
2055,2,42,46039400
2055,2,41,14830100
2055,2,32,333122000
2055,2,31,3466530000
2055,2,21,3156200000
2055,2,11,313320000
