"source","measures","dim1","dim1_value","dim2","dim2_value","Scenario","measure_name","measure_value"
"ABM","Mode Share","Mode","Auto","","","Run006","Trips",973228
"ABM","Mode Share","Mode","Bike","","","Run006","Trips",21343
"ABM","Mode Share","Mode","SchoolBus","","","Run006","Trips",14819
"ABM","Mode Share","Mode","Taxi","","","Run006","Trips",3366
"ABM","Mode Share","Mode","Transit","","","Run006","Trips",19235
"ABM","Mode Share","Mode","Walk","","","Run006","Trips",136955
"ABM","Mode Share","Mode","Auto","","","Run006","Share",0.832568826960356
"ABM","Mode Share","Mode","Bike","","","Run006","Share",0.0182583284428879
"ABM","Mode Share","Mode","SchoolBus","","","Run006","Share",0.0126772323101324
"ABM","Mode Share","Mode","Taxi","","","Run006","Share",0.0028795171034419
"ABM","Mode Share","Mode","Transit","","","Run006","Share",0.0164549944993182
"ABM","Mode Share","Mode","Walk","","","Run006","Share",0.117161100683864
"ABM","PMT","Mode","Auto","","","Run006","TotalPMT",4749621.04
"ABM","PMT","Mode","Bike","","","Run006","TotalPMT",52539.44
"ABM","PMT","Mode","SchoolBus","","","Run006","TotalPMT",81853.24
"ABM","PMT","Mode","Taxi","","","Run006","TotalPMT",7045.04
"ABM","PMT","Mode","Transit","","","Run006","TotalPMT",130322.63
"ABM","PMT","Mode","Walk","","","Run006","TotalPMT",112893.57
"ABM","PMT","Mode","Auto","","","Run006","PMTRatio",0.92508116082665
"ABM","PMT","Mode","Bike","","","Run006","PMTRatio",0.0102330787519802
"ABM","PMT","Mode","SchoolBus","","","Run006","PMTRatio",0.0159425119686227
"ABM","PMT","Mode","Taxi","","","Run006","PMTRatio",0.00137215868937413
"ABM","PMT","Mode","Transit","","","Run006","PMTRatio",0.0253828692493711
"ABM","PMT","Mode","Walk","","","Run006","PMTRatio",0.0219882205140022
"ABM","VMT","","","","","Run006","VMT",24222654.213401
"ABM","CongestedVMT","","","","","Run006","CongestedVMT",1128621.348267
"ABM","CongestedVMTPCT","","","","","Run006","CongestedVMTPCT",0.0465936283581425
"ABM","VMT","","","","","Run006","VMTPerCapita",21.0487546041504
"ABM","VHT","","","","","Run006","VHT",561396.953298
"ABM","VHT","","","","","Run006","VHTPerCapita",0.487836989348168
"ABM","CommuteTime","Mode","Auto","","","Run006","CommuteTime",19.7669437388081
"ABM","CommuteTime","Mode","Bike","","","Run006","CommuteTime",26.2789168765743
"ABM","CommuteTime","Mode","Taxi","","","Run006","CommuteTime",5.04838709677419
"ABM","CommuteTime","Mode","Transit","","","Run006","CommuteTime",58.8781006685018
"ABM","CommuteTime","Mode","Walk","","","Run006","CommuteTime",21.559372419488
"ABM","AverageTransitTravelTime","","","","","Run006","AverageTransitTravelTime",45.4348650896803
"ABM","HighwayLaneMiles","LINKCLASS","freeway","","","Run006","HighwayLaneMiles",608.017799
"ABM","HighwayLaneMiles","LINKCLASS","parkway","","","Run006","HighwayLaneMiles",43.900421
"ABM","HighwayLaneMiles","LINKCLASS","major_arterial","","","Run006","HighwayLaneMiles",1808.476947
"ABM","HighwayLaneMiles","LINKCLASS","minor_arterial","","","Run006","HighwayLaneMiles",2204.904036
"ABM","HighwayLaneMiles","LINKCLASS","collector","","","Run006","HighwayLaneMiles",280.389408
"ABM","HighwayLaneMiles","LINKCLASS","ramp","","","Run006","HighwayLaneMiles",103.940014
"ABM","HighwayLaneMiles","LINKCLASS","frontage_road","","","Run006","HighwayLaneMiles",172.542579
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","PK","Run006","TransitMilesPerFrequency",141.359242
"ABM","TransitMilesPerFrequency","Mode","Regular","TimePeriod","PK","Run006","TransitMilesPerFrequency",1369.273286
"ABM","TransitMilesPerFrequency","Mode","Express","TimePeriod","PK","Run006","TransitMilesPerFrequency",267.451813
"ABM","TransitMilesPerFrequency","Mode","CatTran","TimePeriod","PK","Run006","TransitMilesPerFrequency",46.738137
"ABM","TransitMilesPerFrequency","Mode","BRT","TimePeriod","PK","Run006","TransitMilesPerFrequency",0
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","OP","Run006","TransitMilesPerFrequency",140.837001
"ABM","TransitMilesPerFrequency","Mode","Regular","TimePeriod","OP","Run006","TransitMilesPerFrequency",1098.250633
"ABM","TransitMilesPerFrequency","Mode","Express","TimePeriod","OP","Run006","TransitMilesPerFrequency",0
"ABM","TransitMilesPerFrequency","Mode","CatTran","TimePeriod","OP","Run006","TransitMilesPerFrequency",46.738137
"ABM","TransitMilesPerFrequency","Mode","BRT","TimePeriod","OP","Run006","TransitMilesPerFrequency",0
"ABM","TransitQuarterMilePopEmp","Type","Total","","","Run006","Population",1150788
"ABM","TransitQuarterMilePopEmp","Type","Number","","","Run006","Population",469184.872048
"ABM","TransitQuarterMilePopEmp","Type","Percentage","","","Run006","Population",0.407707
"ABM","TransitQuarterMilePopEmp","Type","TotalDISADV","","","Run006","Population",571721
"ABM","TransitQuarterMilePopEmp","Type","NumberDISADV","","","Run006","Population",333458.219697
"ABM","TransitQuarterMilePopEmp","Type","PercentageDISADV","","","Run006","Population",0.583253
