"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,952866
2055,117,61,511744
2055,117,54,57169.4
2055,117,53,35035.8
2055,117,52,519402
2055,117,51,10998.6
2055,117,43,7159.82
2055,117,42,10141.1
2055,117,41,5220.83
2055,117,32,508102
2055,117,31,5015800
2055,117,21,5283700
2055,117,11,17982.1
2055,116,62,1878780
2055,116,61,1032500
2055,116,54,150054
2055,116,53,87423.6
2055,116,52,1245950
2055,116,51,31468.7
2055,116,43,22476.7
2055,116,42,28978.5
2055,116,41,16501.3
2055,116,32,955743
2055,116,31,9515070
2055,116,21,9084540
2055,116,11,34838.7
2055,110,62,807815
2055,110,61,897694
2055,110,54,195875
2055,110,53,64421.2
2055,110,52,1739260
2055,110,51,13557.8
2055,110,43,22249.2
2055,110,42,30598.1
2055,110,41,9927.68
2055,110,32,1315820
2055,110,31,11890200
2055,110,21,7273260
2055,110,11,586931
2055,107,62,6352470
2055,107,61,3411640
2055,107,54,381131
2055,107,53,233573
2055,107,52,3462700
2055,107,51,73324.2
2055,107,43,47732.4
2055,107,42,67607.5
2055,107,41,34805.7
2055,107,32,3387360
2055,107,31,33438800
2055,107,21,35224800
2055,107,11,119881
2055,106,62,15030300
2055,106,61,8259970
2055,106,54,1200430
2055,106,53,699389
2055,106,52,9967570
2055,106,51,251750
2055,106,43,179814
2055,106,42,231828
2055,106,41,132011
2055,106,32,7645940
2055,106,31,76120500
2055,106,21,72676300
2055,106,11,278710
2055,100,62,878474
2055,100,61,975821
2055,100,54,220180
2055,100,53,71666.5
2055,100,52,1947150
2055,100,51,14857.7
2055,100,43,24433.5
2055,100,42,34302.9
2055,100,41,11116.7
2055,100,32,1486180
2055,100,31,13435700
2055,100,21,8221850
2055,100,11,663484
2055,98,62,3.45425e+11
2055,98,61,2.2565e+11
2055,98,54,22048400000
2055,98,53,11957700000
2055,98,52,1.86856e+11
2055,98,51,3813920000
2055,98,43,2924090000
2055,98,42,5710340000
2055,98,41,1939900000
2055,98,32,1.00112e+11
2055,98,31,9.35691e+11
2055,98,21,5.03474e+11
2055,98,11,10906900000
2055,87,62,16904400
2055,87,61,10054600
2055,87,54,7704000
2055,87,53,1460790
2055,87,52,43572700
2055,87,51,462984
2055,87,43,325326
2055,87,42,1184250
2055,87,41,368109
2055,87,32,42016900
2055,87,31,407912000
2055,87,21,262466000
2055,87,11,152676000
2055,3,62,252461000
2055,3,61,140666000
2055,3,54,5850130
2055,3,53,3634310
2055,3,52,82515500
2055,3,51,3548200
2055,3,43,1603560
2055,3,42,3185180
2055,3,41,1340460
2055,3,32,15411000
2055,3,31,102831000
2055,3,21,46399600
2055,3,11,20995300
2055,2,62,395713000
2055,2,61,192542000
2055,2,54,99784200
2055,2,53,19965500
2055,2,52,410276000
2055,2,51,15342300
2055,2,43,6014400
2055,2,42,47621200
2055,2,41,15328500
2055,2,32,346148000
2055,2,31,3607870000
2055,2,21,2646340000
2055,2,11,329134000
