"source","measures","dim1","dim1_value","dim2","dim2_value","Scenario","measure_name","measure_value"
"ABM","Mode Share","Mode","Auto","","","Run106","Trips",1075463
"ABM","Mode Share","Mode","Bike","","","Run106","Trips",23651
"ABM","Mode Share","Mode","SchoolBus","","","Run106","Trips",14751
"ABM","Mode Share","Mode","Taxi","","","Run106","Trips",2361
"ABM","Mode Share","Mode","Transit","","","Run106","Trips",23629
"ABM","Mode Share","Mode","Walk","","","Run106","Trips",148850
"ABM","Mode Share","Mode","Auto","","","Run106","Share",0.834530012687155
"ABM","Mode Share","Mode","Bike","","","Run106","Share",0.0183525321931707
"ABM","Mode Share","Mode","SchoolBus","","","Run106","Share",0.0114463744611839
"ABM","Mode Share","Mode","Taxi","","","Run106","Share",0.00183207173092368
"ABM","Mode Share","Mode","Transit","","","Run106","Share",0.0183354607920354
"ABM","Mode Share","Mode","Walk","","","Run106","Share",0.115503548135531
"ABM","PMT","Mode","Auto","","","Run106","TotalPMT",5543387.01
"ABM","PMT","Mode","Bike","","","Run106","TotalPMT",56739.88
"ABM","PMT","Mode","SchoolBus","","","Run106","TotalPMT",78587.03
"ABM","PMT","Mode","Taxi","","","Run106","TotalPMT",5470.49
"ABM","PMT","Mode","Transit","","","Run106","TotalPMT",168206.84
"ABM","PMT","Mode","Walk","","","Run106","TotalPMT",120043.16
"ABM","PMT","Mode","Auto","","","Run106","PMTRatio",0.928162057454893
"ABM","PMT","Mode","Bike","","","Run106","PMTRatio",0.00950029353273383
"ABM","PMT","Mode","SchoolBus","","","Run106","PMTRatio",0.0131582910091766
"ABM","PMT","Mode","Taxi","","","Run106","PMTRatio",0.000915956480131524
"ABM","PMT","Mode","Transit","","","Run106","PMTRatio",0.0281638655953025
"ABM","PMT","Mode","Walk","","","Run106","PMTRatio",0.0200995359277625
"ABM","VMT","","","","","Run106","VMT",29972183.830142
"ABM","CongestedVMT","","","","","Run106","CongestedVMT",2034846.489948
"ABM","CongestedVMTPCT","","","","","Run106","CongestedVMTPCT",0.0678911654045583
"ABM","VMT","","","","","Run106","VMTPerCapita",24.0161729408189
"ABM","VHT","","","","","Run106","VHT",677854.346408
"ABM","VHT","","","","","Run106","VHTPerCapita",0.543152521160256
"ABM","CommuteTime","Mode","Auto","","","Run106","CommuteTime",20.5780702552669
"ABM","CommuteTime","Mode","Bike","","","Run106","CommuteTime",26.9367701149425
"ABM","CommuteTime","Mode","Taxi","","","Run106","CommuteTime",3.3875
"ABM","CommuteTime","Mode","Transit","","","Run106","CommuteTime",58.0256283898962
"ABM","CommuteTime","Mode","Walk","","","Run106","CommuteTime",23.0596752265861
"ABM","AverageTransitTravelTime","","","","","Run106","AverageTransitTravelTime",44.6304113589234
"ABM","HighwayLaneMiles","LINKCLASS","freeway","","","Run106","HighwayLaneMiles",608.017799
"ABM","HighwayLaneMiles","LINKCLASS","parkway","","","Run106","HighwayLaneMiles",43.900421
"ABM","HighwayLaneMiles","LINKCLASS","major_arterial","","","Run106","HighwayLaneMiles",1808.476947
"ABM","HighwayLaneMiles","LINKCLASS","minor_arterial","","","Run106","HighwayLaneMiles",2204.904036
"ABM","HighwayLaneMiles","LINKCLASS","collector","","","Run106","HighwayLaneMiles",280.389408
"ABM","HighwayLaneMiles","LINKCLASS","ramp","","","Run106","HighwayLaneMiles",103.940014
"ABM","HighwayLaneMiles","LINKCLASS","frontage_road","","","Run106","HighwayLaneMiles",172.542579
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","PK","Run106","TransitMilesPerFrequency",161.387288
"ABM","TransitMilesPerFrequency","Mode","Regular","TimePeriod","PK","Run106","TransitMilesPerFrequency",1563.274528
"ABM","TransitMilesPerFrequency","Mode","Express","TimePeriod","PK","Run106","TransitMilesPerFrequency",305.344894
"ABM","TransitMilesPerFrequency","Mode","CatTran","TimePeriod","PK","Run106","TransitMilesPerFrequency",53.360085
"ABM","TransitMilesPerFrequency","Mode","BRT","TimePeriod","PK","Run106","TransitMilesPerFrequency",0
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","OP","Run106","TransitMilesPerFrequency",160.791055
"ABM","TransitMilesPerFrequency","Mode","Regular","TimePeriod","OP","Run106","TransitMilesPerFrequency",1253.852871
"ABM","TransitMilesPerFrequency","Mode","Express","TimePeriod","OP","Run106","TransitMilesPerFrequency",0
"ABM","TransitMilesPerFrequency","Mode","CatTran","TimePeriod","OP","Run106","TransitMilesPerFrequency",53.360085
"ABM","TransitMilesPerFrequency","Mode","BRT","TimePeriod","OP","Run106","TransitMilesPerFrequency",0
"ABM","TransitQuarterMilePopEmp","Type","Total","","","Run106","Population",1248000
"ABM","TransitQuarterMilePopEmp","Type","Number","","","Run106","Population",494421.573809
"ABM","TransitQuarterMilePopEmp","Type","Percentage","","","Run106","Population",0.396171
"ABM","TransitQuarterMilePopEmp","Type","TotalDISADV","","","Run106","Population",608033
"ABM","TransitQuarterMilePopEmp","Type","NumberDISADV","","","Run106","Population",350332.06668
"ABM","TransitQuarterMilePopEmp","Type","PercentageDISADV","","","Run106","Population",0.576173
"ABM","TransitQuarterMilePopEmp","Type","Total","","","Run106","Jobs",473905
