"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,1119680
2055,117,61,601332
2055,117,54,66907.8
2055,117,53,41004
2055,117,52,607879
2055,117,51,12872
2055,117,43,8367.49
2055,117,42,11851.5
2055,117,41,6101.4
2055,117,32,593949
2055,117,31,5863250
2055,117,21,6176410
2055,117,11,20955.3
2055,116,62,2662150
2055,116,61,1464010
2055,116,54,202520
2055,116,53,117310
2055,116,52,1675580
2055,116,51,42254.2
2055,116,43,30184.2
2055,116,42,39470.9
2055,116,41,22207.7
2055,116,32,1244190
2055,116,31,12411900
2055,116,21,11857300
2055,116,11,45506.4
2055,110,62,921960
2055,110,61,997088
2055,110,54,211734
2055,110,53,72381
2055,110,52,1860820
2055,110,51,15505.9
2055,110,43,25219.6
2055,110,42,33763.5
2055,110,41,11034.2
2055,110,32,1377080
2055,110,31,12240700
2055,110,21,4729730
2055,110,11,653123
2055,107,62,7464550
2055,107,61,4008900
2055,107,54,446054
2055,107,53,273361
2055,107,52,4052550
2055,107,51,85813.6
2055,107,43,55783.5
2055,107,42,79010.2
2055,107,41,40676.2
2055,107,32,3959680
2055,107,31,39088500
2055,107,21,41176300
2055,107,11,139702
2055,106,62,21297200
2055,106,61,11712100
2055,106,54,1620160
2055,106,53,938478
2055,106,52,13404600
2055,106,51,338034
2055,106,43,241473
2055,106,42,315767
2055,106,41,177662
2055,106,32,9953540
2055,106,31,99294900
2055,106,21,94858200
2055,106,11,364051
2055,100,62,1002630
2055,100,61,1083870
2055,100,54,237931
2055,100,53,80497.2
2055,100,52,2081970
2055,100,51,16999.6
2055,100,43,27673.7
2055,100,42,37840.7
2055,100,41,12352.1
2055,100,32,1555320
2055,100,31,13831500
2055,100,21,5346600
2055,100,11,738310
2055,98,62,3.87818e+11
2055,98,61,2.5279e+11
2055,98,54,24680100000
2055,98,53,13506600000
2055,98,52,2.10152e+11
2055,98,51,4315040000
2055,98,43,3306190000
2055,98,42,6413190000
2055,98,41,2179890000
2055,98,32,1.13191e+11
2055,98,31,1.05359e+12
2055,98,21,2.816e+11
2055,98,11,12155800000
2055,87,62,19081000
2055,87,61,11314200
2055,87,54,8067130
2055,87,53,1614160
2055,87,52,45700600
2055,87,51,547566
2055,87,43,351637
2055,87,42,1311330
2055,87,41,412759
2055,87,32,44302200
2055,87,31,428676000
2055,87,21,191501000
2055,87,11,158416000
2055,3,62,289897000
2055,3,61,163240000
2055,3,54,6622810
2055,3,53,4296560
2055,3,52,92473500
2055,3,51,4154260
2055,3,43,1856360
2055,3,42,3682650
2055,3,41,1556190
2055,3,32,16236300
2055,3,31,106478000
2055,3,21,24079000
2055,3,11,23165700
2055,2,62,466666000
2055,2,61,226724000
2055,2,54,100764000
2055,2,53,21902400
2055,2,52,438018000
2055,2,51,17743800
2055,2,43,6322460
2055,2,42,49549100
2055,2,41,15979700
2055,2,32,371622000
2055,2,31,3862480000
2055,2,21,1772600000
2055,2,11,367394000
