"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,923864
2055,117,61,496170
2055,117,54,55408.8
2055,117,53,33957
2055,117,52,503408
2055,117,51,10659.7
2055,117,43,6930.18
2055,117,42,9815.68
2055,117,41,5053.34
2055,117,32,492861
2055,117,31,4865340
2055,117,21,5125200
2055,117,11,17362.4
2055,116,62,2145170
2055,116,61,1179780
2055,116,54,167008
2055,116,53,96800.8
2055,116,52,1382420
2055,116,51,34851.5
2055,116,43,24871
2055,116,42,32488
2055,116,41,18329.4
2055,116,32,1037210
2055,116,31,10346600
2055,116,21,9880750
2055,116,11,37762.9
2055,110,62,753637
2055,110,61,810863
2055,110,54,187122
2055,110,53,60123.9
2055,110,52,1670920
2055,110,51,12733.6
2055,110,43,21430
2055,110,42,29879.6
2055,110,41,9688.17
2055,110,32,1277990
2055,110,31,11570300
2055,110,21,5349030
2055,110,11,537877
2055,107,62,6159120
2055,107,61,3307810
2055,107,54,369394
2055,107,53,226381
2055,107,52,3356070
2055,107,51,71065
2055,107,43,46201.4
2055,107,42,65438.2
2055,107,41,33689.1
2055,107,32,3285760
2055,107,31,32435700
2055,107,21,34168200
2055,107,11,115750
2055,106,62,17161300
2055,106,61,9438250
2055,106,54,1336070
2055,106,53,774406
2055,106,52,11059400
2055,106,51,278812
2055,106,43,198968
2055,106,42,259904
2055,106,41,146636
2055,106,32,8297660
2055,106,31,82773000
2055,106,21,79046000
2055,106,11,302103
2055,100,62,819582
2055,100,61,881439
2055,100,54,210355
2055,100,53,66876.2
2055,100,52,1870920
2055,100,51,13961.4
2055,100,43,23539.1
2055,100,42,33506.9
2055,100,41,10851.7
2055,100,32,1443490
2055,100,31,13074400
2055,100,21,6046660
2055,100,11,608033
2055,98,62,3.17958e+11
2055,98,61,2.07247e+11
2055,98,54,20212200000
2055,98,53,1.1089e+10
2055,98,52,1.72839e+11
2055,98,51,3544070000
2055,98,43,2718120000
2055,98,42,5263810000
2055,98,41,1788210000
2055,98,32,93462300000
2055,98,31,8.68638e+11
2055,98,21,3.17629e+11
2055,98,11,10012700000
2055,87,62,15584800
2055,87,61,9329320
2055,87,54,7536660
2055,87,53,1424580
2055,87,52,43024800
2055,87,51,453352
2055,87,43,315486
2055,87,42,1135890
2055,87,41,355773
2055,87,32,41452700
2055,87,31,401596000
2055,87,21,208111000
2055,87,11,151338000
2055,3,62,236814000
2055,3,61,133746000
2055,3,54,5699880
2055,3,53,3568430
2055,3,52,81295600
2055,3,51,3430710
2055,3,43,1554800
2055,3,42,3066730
2055,3,41,1290130
2055,3,32,15248900
2055,3,31,101455000
2055,3,21,31170400
2055,3,11,19129500
2055,2,62,382299000
2055,2,61,185788000
2055,2,54,82022100
2055,2,53,17914700
2055,2,52,374259000
2055,2,51,14658300
2055,2,43,5176400
2055,2,42,40106400
2055,2,41,12928300
2055,2,32,314559000
2055,2,31,3224990000
2055,2,21,1806450000
2055,2,11,304293000
