"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,1038780
2055,117,61,557886
2055,117,54,62150.3
2055,117,53,38088.5
2055,117,52,564658
2055,117,51,11956.6
2055,117,43,7770.54
2055,117,42,11005.9
2055,117,41,5666.1
2055,117,32,551725
2055,117,31,5446420
2055,117,21,5737320
2055,117,11,19428.3
2055,116,62,2640370
2055,116,61,1452380
2055,116,54,199155
2055,116,53,115123
2055,116,52,1645400
2055,116,51,41512.4
2055,116,43,29379.4
2055,116,42,38609
2055,116,41,21834.3
2055,116,32,1211340
2055,116,31,12098900
2055,116,21,11551100
2055,116,11,44281.9
2055,110,62,843424
2055,110,61,900877
2055,110,54,199586
2055,110,53,66432.7
2055,110,52,1767710
2055,110,51,14243.7
2055,110,43,23658
2055,110,42,32106.1
2055,110,41,10467.4
2055,110,32,1328240
2055,110,31,11888000
2055,110,21,9434010
2055,110,11,593332
2055,107,62,6925230
2055,107,61,3719260
2055,107,54,414337
2055,107,53,253924
2055,107,52,3764400
2055,107,51,79711.1
2055,107,43,51803.9
2055,107,42,73373.2
2055,107,41,37774.2
2055,107,32,3678190
2055,107,31,36309700
2055,107,21,38249000
2055,107,11,129523
2055,106,62,21123000
2055,106,61,11619000
2055,106,54,1593240
2055,106,53,920986
2055,106,52,13163200
2055,106,51,332099
2055,106,43,235035
2055,106,42,308872
2055,106,41,174675
2055,106,32,9690710
2055,106,31,96790900
2055,106,21,92408500
2055,106,11,354255
2055,100,62,917236
2055,100,61,979290
2055,100,54,224312
2055,100,53,73881.3
2055,100,52,1978380
2055,100,51,15619.1
2055,100,43,25969.4
2055,100,42,35993
2055,100,41,11721
2055,100,32,1500200
2055,100,31,13433200
2055,100,21,10664400
2055,100,11,670720
2055,98,62,3.52292e+11
2055,98,61,2.29493e+11
2055,98,54,22384400000
2055,98,53,12310200000
2055,98,52,1.91439e+11
2055,98,51,3937320000
2055,98,43,3018690000
2055,98,42,5832090000
2055,98,41,1981970000
2055,98,32,1.0361e+11
2055,98,31,9.62069e+11
2055,98,21,7.31326e+11
2055,98,11,11025700000
2055,87,62,17349900
2055,87,61,10355500
2055,87,54,7820740
2055,87,53,1535090
2055,87,52,44571700
2055,87,51,512120
2055,87,43,335161
2055,87,42,1230730
2055,87,41,388597
2055,87,32,43083300
2055,87,31,416696000
2055,87,21,337595000
2055,87,11,155424000
2055,3,62,265724000
2055,3,61,150712000
2055,3,54,6265980
2055,3,53,4031140
2055,3,52,88309100
2055,3,51,3863610
2055,3,43,1731540
2055,3,42,3421230
2055,3,41,1447420
2055,3,32,15833200
2055,3,31,104205000
2055,3,21,64516800
2055,3,11,20919000
2055,2,62,432507000
2055,2,61,210445000
2055,2,54,87377400
2055,2,53,19708600
2055,2,52,401731000
2055,2,51,16387200
2055,2,43,5596650
2055,2,42,43360200
2055,2,41,13976000
2055,2,32,340396000
2055,2,31,3.503e+09
2055,2,21,3409040000
2055,2,11,334512000
