"source","measures","dim1","dim1_value","dim2","dim2_value","Scenario","measure_name","measure_value"
"ABM","Mode Share","Mode","Auto","","","Run043","Trips",996828
"ABM","Mode Share","Mode","Bike","","","Run043","Trips",21987
"ABM","Mode Share","Mode","SchoolBus","","","Run043","Trips",15669
"ABM","Mode Share","Mode","Taxi","","","Run043","Trips",1964
"ABM","Mode Share","Mode","Transit","","","Run043","Trips",21521
"ABM","Mode Share","Mode","Walk","","","Run043","Trips",143675
"ABM","Mode Share","Mode","Auto","","","Run043","Share",0.829553511688986
"ABM","Mode Share","Mode","Bike","","","Run043","Share",0.0182974325174511
"ABM","Mode Share","Mode","SchoolBus","","","Run043","Share",0.0130396356990922
"ABM","Mode Share","Mode","Taxi","","","Run043","Share",0.00163442750099031
"ABM","Mode Share","Mode","Transit","","","Run043","Share",0.0179096304729188
"ABM","Mode Share","Mode","Walk","","","Run043","Share",0.119565362120561
"ABM","PMT","Mode","Auto","","","Run043","TotalPMT",4779543.74
"ABM","PMT","Mode","Bike","","","Run043","TotalPMT",53559.78
"ABM","PMT","Mode","SchoolBus","","","Run043","TotalPMT",89680.01
"ABM","PMT","Mode","Taxi","","","Run043","TotalPMT",4111.45
"ABM","PMT","Mode","Transit","","","Run043","TotalPMT",152925.95
"ABM","PMT","Mode","Walk","","","Run043","TotalPMT",117099.02
"ABM","PMT","Mode","Auto","","","Run043","PMTRatio",0.919687773909236
"ABM","PMT","Mode","Bike","","","Run043","PMTRatio",0.0103060621512941
"ABM","PMT","Mode","SchoolBus","","","Run043","PMTRatio",0.0172563770200078
"ABM","PMT","Mode","Taxi","","","Run043","PMTRatio",0.0007911320627519
"ABM","PMT","Mode","Transit","","","Run043","PMTRatio",0.0294262662252475
"ABM","PMT","Mode","Walk","","","Run043","PMTRatio",0.0225323886314624
"ABM","VMT","","","","","Run043","VMT",26775106.888098
"ABM","CongestedVMT","","","","","Run043","CongestedVMT",1218287.248608
"ABM","CongestedVMTPCT","","","","","Run043","CongestedVMTPCT",0.0455007426748892
"ABM","VMT","","","","","Run043","VMTPerCapita",22.3309004117526
"ABM","VHT","","","","","Run043","VHT",615685.343251
"ABM","VHT","","","","","Run043","VHTPerCapita",0.513492182965865
"ABM","CommuteTime","Mode","Auto","","","Run043","CommuteTime",19.9685969066667
"ABM","CommuteTime","Mode","Bike","","","Run043","CommuteTime",27.0393727382388
"ABM","CommuteTime","Mode","Taxi","","","Run043","CommuteTime",4.157
"ABM","CommuteTime","Mode","Transit","","","Run043","CommuteTime",57.2238045345242
"ABM","CommuteTime","Mode","Walk","","","Run043","CommuteTime",22.2128815004263
"ABM","AverageTransitTravelTime","","","","","Run043","AverageTransitTravelTime",43.0343492402769
"ABM","HighwayLaneMiles","LINKCLASS","freeway","","","Run043","HighwayLaneMiles",608.017799
