"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,973196
2055,117,61,522664
2055,117,54,58315.6
2055,117,53,35738.4
2055,117,52,529818
2055,117,51,11218.9
2055,117,43,7295.37
2055,117,42,10332.9
2055,117,41,5319.63
2055,117,32,518326
2055,117,31,5116730
2055,117,21,5390020
2055,117,11,18257.6
2055,116,62,2434240
2055,116,61,1339140
2055,116,54,186650
2055,116,53,107871
2055,116,52,1542000
2055,116,51,38913.3
2055,116,43,27701.4
2055,116,42,36422.5
2055,116,41,20513
2055,116,32,1138420
2055,116,31,11370300
2055,116,21,10857800
2055,116,11,41690.8
2055,110,62,790769
2055,110,61,843854
2055,110,54,192166
2055,110,53,62735.5
2055,110,52,1710610
2055,110,51,13395.6
2055,110,43,22472.6
2055,110,42,30867.6
2055,110,41,10037.9
2055,110,32,1298470
2055,110,31,11692400
2055,110,21,8646990
2055,110,11,558543
2055,107,62,6488010
2055,107,61,3484440
2055,107,54,388773
2055,107,53,238257
2055,107,52,3532140
2055,107,51,74793.3
2055,107,43,48636
2055,107,42,68886.5
2055,107,41,35464.4
2055,107,32,3455530
2055,107,31,34111700
2055,107,21,35933600
2055,107,11,121718
2055,106,62,19473900
2055,106,61,10713100
2055,106,54,1493200
2055,106,53,862965
2055,106,52,12336000
2055,106,51,311306
2055,106,43,221612
2055,106,42,291380
2055,106,41,164104
2055,106,32,9107370
2055,106,31,90962200
2055,106,21,86862700
2055,106,11,333526
2055,100,62,859971
2055,100,61,917303
2055,100,54,215999
2055,100,53,69774.5
2055,100,52,1914960
2055,100,51,14688.8
2055,100,43,24676.1
2055,100,42,34609.9
2055,100,41,11241.9
2055,100,32,1466610
2055,100,31,13212200
2055,100,21,9774750
2055,100,11,631394
2055,98,62,3.30886e+11
2055,98,61,2.1555e+11
2055,98,54,21072400000
2055,98,53,11581200000
2055,98,52,1.80262e+11
2055,98,51,3703260000
2055,98,43,2840050000
2055,98,42,5488520000
2055,98,41,1865640000
2055,98,32,97666400000
2055,98,31,9.06978e+11
2055,98,21,6.33768e+11
2055,98,11,10393700000
2055,87,62,16279500
2055,87,61,9732300
2055,87,54,7661880
2055,87,53,1474860
2055,87,52,43726000
2055,87,51,481549
2055,87,43,324150
2055,87,42,1177840
2055,87,41,370910
2055,87,32,42193000
2055,87,31,408315000
2055,87,21,311461000
2055,87,11,153241000
2055,3,62,248969000
2055,3,61,141079000
2055,3,54,5976680
2055,3,53,3793200
2055,3,52,84680700
2055,3,51,3633240
2055,3,43,1638880
2055,3,42,3234270
2055,3,41,1364650
2055,3,32,15521500
2055,3,31,102669000
2055,3,21,58761700
2055,3,11,19691600
2055,2,62,405239000
2055,2,61,196910000
2055,2,54,83226100
2055,2,53,18598900
2055,2,52,384429000
2055,2,51,15431300
2055,2,43,5305610
2055,2,42,40982900
2055,2,41,13226600
2055,2,32,325125000
2055,2,31,3336670000
2055,2,21,3031050000
2055,2,11,315471000
