"source","measures","dim1","dim1_value","dim2","dim2_value","Scenario","measure_name","measure_value"
"ABM","Mode Share","Mode","Auto","","","Run103","Trips",1121869
"ABM","Mode Share","Mode","Bike","","","Run103","Trips",22602
"ABM","Mode Share","Mode","SchoolBus","","","Run103","Trips",16538
"ABM","Mode Share","Mode","Taxi","","","Run103","Trips",2584
"ABM","Mode Share","Mode","Transit","","","Run103","Trips",20636
"ABM","Mode Share","Mode","Walk","","","Run103","Trips",156054
"ABM","Mode Share","Mode","Auto","","","Run103","Share",0.83703889402462
"ABM","Mode Share","Mode","Bike","","","Run103","Share",0.0168636026868952
"ABM","Mode Share","Mode","SchoolBus","","","Run103","Share",0.0123391850825535
"ABM","Mode Share","Mode","Taxi","","","Run103","Share",0.00192795103720632
"ABM","Mode Share","Mode","Transit","","","Run103","Share",0.0153967482986802
"ABM","Mode Share","Mode","Walk","","","Run103","Share",0.116433618870045
"ABM","PMT","Mode","Auto","","","Run103","TotalPMT",5581394.4
"ABM","PMT","Mode","Bike","","","Run103","TotalPMT",55410
"ABM","PMT","Mode","SchoolBus","","","Run103","TotalPMT",92581.82
"ABM","PMT","Mode","Taxi","","","Run103","TotalPMT",6127.25
"ABM","PMT","Mode","Transit","","","Run103","TotalPMT",143341.13
"ABM","PMT","Mode","Walk","","","Run103","TotalPMT",125294.29
"ABM","PMT","Mode","Auto","","","Run103","PMTRatio",0.929589605830045
"ABM","PMT","Mode","Bike","","","Run103","PMTRatio",0.00922861857944365
"ABM","PMT","Mode","SchoolBus","","","Run103","PMTRatio",0.0154196409343207
"ABM","PMT","Mode","Taxi","","","Run103","PMTRatio",0.00102050267444317
"ABM","PMT","Mode","Transit","","","Run103","PMTRatio",0.0238736801212136
"ABM","PMT","Mode","Walk","","","Run103","PMTRatio",0.0208679518605342
"ABM","VMT","","","","","Run103","VMT",25787398.181899
"ABM","CongestedVMT","","","","","Run103","CongestedVMT",1624055.572286
"ABM","CongestedVMTPCT","","","","","Run103","CongestedVMTPCT",0.0629786518527479
