"source","measures","dim1","dim1_value","dim2","dim2_value","Scenario","measure_name","measure_value"
"ABM","Mode Share","Mode","Auto","","","Run051","Trips",986678
"ABM","Mode Share","Mode","Bike","","","Run051","Trips",23351
"ABM","Mode Share","Mode","SchoolBus","","","Run051","Trips",15143
"ABM","Mode Share","Mode","Taxi","","","Run051","Trips",2509
"ABM","Mode Share","Mode","Transit","","","Run051","Trips",32379
"ABM","Mode Share","Mode","Walk","","","Run051","Trips",144295
"ABM","Mode Share","Mode","Auto","","","Run051","Share",0.819258441240332
"ABM","Mode Share","Mode","Bike","","","Run051","Share",0.0193888014746483
"ABM","Mode Share","Mode","SchoolBus","","","Run051","Share",0.0125735352117939
"ABM","Mode Share","Mode","Taxi","","","Run051","Share",0.00208327278916931
"ABM","Mode Share","Mode","Transit","","","Run051","Share",0.026884930107817
"ABM","Mode Share","Mode","Walk","","","Run051","Share",0.11981101917624
"ABM","PMT","Mode","Auto","","","Run051","TotalPMT",4753800.49
"ABM","PMT","Mode","Bike","","","Run051","TotalPMT",55079.6
"ABM","PMT","Mode","SchoolBus","","","Run051","TotalPMT",82124.48
"ABM","PMT","Mode","Taxi","","","Run051","TotalPMT",4881.92
"ABM","PMT","Mode","Transit","","","Run051","TotalPMT",253493.99
"ABM","PMT","Mode","Walk","","","Run051","TotalPMT",116663.85
"ABM","PMT","Mode","Auto","","","Run051","PMTRatio",0.902727017111913
"ABM","PMT","Mode","Bike","","","Run051","PMTRatio",0.0104593878342836
"ABM","PMT","Mode","SchoolBus","","","Run051","PMTRatio",0.0155950984939772
"ABM","PMT","Mode","Taxi","","","Run051","PMTRatio",0.00092705638123635
"ABM","PMT","Mode","Transit","","","Run051","PMTRatio",0.0481374584250794
"ABM","PMT","Mode","Walk","","","Run051","PMTRatio",0.022153981753511
"ABM","VMT","","","","","Run051","VMT",27149315.431467
"ABM","CongestedVMT","","","","","Run051","CongestedVMT",1429900.815484
"ABM","CongestedVMTPCT","","","","","Run051","CongestedVMTPCT",0.0526680246908434
"ABM","VMT","","","","","Run051","VMTPerCapita",22.6898898584642
"ABM","VHT","","","","","Run051","VHT",599589.843332
"ABM","VHT","","","","","Run051","VHTPerCapita",0.501103887492081
"ABM","CommuteTime","Mode","Auto","","","Run051","CommuteTime",19.3956771532285
"ABM","CommuteTime","Mode","Bike","","","Run051","CommuteTime",26.2312121212121
"ABM","CommuteTime","Mode","Taxi","","","Run051","CommuteTime",3.72838709677419
"ABM","CommuteTime","Mode","Transit","","","Run051","CommuteTime",57.2469916892153
"ABM","CommuteTime","Mode","Walk","","","Run051","CommuteTime",21.3141801948052
"ABM","AverageTransitTravelTime","","","","","Run051","AverageTransitTravelTime",42.1983050742765
"ABM","HighwayLaneMiles","LINKCLASS","freeway","","","Run051","HighwayLaneMiles",520.417149
"ABM","HighwayLaneMiles","LINKCLASS","parkway","","","Run051","HighwayLaneMiles",35.846954
"ABM","HighwayLaneMiles","LINKCLASS","major_arterial","","","Run051","HighwayLaneMiles",1716.47024
"ABM","HighwayLaneMiles","LINKCLASS","minor_arterial","","","Run051","HighwayLaneMiles",2201.072256
"ABM","HighwayLaneMiles","LINKCLASS","collector","","","Run051","HighwayLaneMiles",270.7204
"ABM","HighwayLaneMiles","LINKCLASS","ramp","","","Run051","HighwayLaneMiles",85.659188
"ABM","HighwayLaneMiles","LINKCLASS","frontage_road","","","Run051","HighwayLaneMiles",172.542579
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","PK","Run051","TransitMilesPerFrequency",302.323904
"ABM","TransitMilesPerFrequency","Mode","Regular","TimePeriod","PK","Run051","TransitMilesPerFrequency",2896.095881
"ABM","TransitMilesPerFrequency","Mode","Express","TimePeriod","PK","Run051","TransitMilesPerFrequency",571.934437
"ABM","TransitMilesPerFrequency","Mode","CatTran","TimePeriod","PK","Run051","TransitMilesPerFrequency",99.958635
"ABM","TransitMilesPerFrequency","Mode","BRT","TimePeriod","PK","Run051","TransitMilesPerFrequency",191.421557
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","OP","Run051","TransitMilesPerFrequency",301.206987
"ABM","TransitMilesPerFrequency","Mode","Regular","TimePeriod","OP","Run051","TransitMilesPerFrequency",2317.500936
"ABM","TransitMilesPerFrequency","Mode","Express","TimePeriod","OP","Run051","TransitMilesPerFrequency",0
"ABM","TransitMilesPerFrequency","Mode","CatTran","TimePeriod","OP","Run051","TransitMilesPerFrequency",100.440633
"ABM","TransitMilesPerFrequency","Mode","BRT","TimePeriod","OP","Run051","TransitMilesPerFrequency",191.421557
"ABM","TransitQuarterMilePopEmp","Type","Total","","","Run051","Population",1196538
"ABM","TransitQuarterMilePopEmp","Type","Number","","","Run051","Population",475364.146906
"ABM","TransitQuarterMilePopEmp","Type","Percentage","","","Run051","Population",0.397283
"ABM","TransitQuarterMilePopEmp","Type","TotalDISADV","","","Run051","Population",588126
"ABM","TransitQuarterMilePopEmp","Type","NumberDISADV","","","Run051","Population",337572.491893
"ABM","TransitQuarterMilePopEmp","Type","PercentageDISADV","","","Run051","Population",0.57398
"ABM","TransitQuarterMilePopEmp","Type","Total","","","Run051","Jobs",461820
"ABM","TransitQuarterMilePopEmp","Type","Number","","","Run051","Jobs",289745.779759
"ABM","TransitQuarterMilePopEmp","Type","Percentage","","","Run051","Jobs",0.6274
"ABM","TransitQuarterMilePopEmp","Type","TotalDISADV","","","Run051","Jobs",144476
"ABM","TransitQuarterMilePopEmp","Type","NumberDISADV","","","Run051","Jobs",106114.986057
"ABM","TransitQuarterMilePopEmp","Type","PercentageDISADV","","","Run051","Jobs",0.734482
"ABM","AverageTransitSpeed","TimePeriod","PK","","","Run051","AverageTransitSpeed",13.824574
"ABM","AverageTransitSpeed","TimePeriod","OP","","","Run051","AverageTransitSpeed",16.06464
"ABM","AverageTransitSpeed","TimePeriod","DY","","","Run051","AverageTransitSpeed",13.841128
"ABM","TravelTimeIndex","TimePeriod","AM","","","Run051","TravelTimeIndex",1.283874
"ABM","TravelTimeIndex","TimePeriod","PM","","","Run051","TravelTimeIndex",1.502537
"ABM","Speed","","","","","Run051","Speed",45.2798120805294
"ABM","Accessibility","","","","","Run051","Auto Accessibility Off Peak",78488.0094404563
"ABM","Accessibility","","","","","Run051","Auto Accessibility Peak",57902.9024860267
"ABM","Accessibility","","","","","Run051","Auto Accessibility Off Peak within 30 Minutes",373852.722589452
"ABM","Accessibility","","","","","Run051","Auto Accessibility Peak within 30 Minutes",299317.794371595
"ABM","Accessibility","","","","","Run051","Auto Accessibility Percentage Off Peak within 30 Minutes",0.809520424818006
"ABM","Accessibility","","","","","Run051","Auto Accessibility Percentage Peak within 30 Minutes",0.648126530621443
"ABM","Accessibility","","","","","Run051","Transit Accessibility Off Peak",3466.86648762563
"ABM","Accessibility","","","","","Run051","Transit Accessibility Peak",3298.06751102238
"ABM","Accessibility","","","","","Run051","Transit Accessibility Off Peak within 45 Minutes",65949.4689446165
"ABM","Accessibility","","","","","Run051","Transit Accessibility Off Peak within 60 Minutes",113843.666703385
"ABM","Accessibility","","","","","Run051","Transit Accessibility Off Peak within 90 Minutes",169581.473111436
"ABM","Accessibility","","","","","Run051","Transit Accessibility Percentage Off Peak within 45 Minutes",0.142803405969028
"ABM","Accessibility","","","","","Run051","Transit Accessibility Percentage Off Peak within 60 Minutes",0.246510906204549
"ABM","Accessibility","","","","","Run051","Transit Accessibility Percentage Off Peak within 90 Minutes",0.367202531530544
"ABM","Accessibility","","","","","Run051","Transit Accessibility Peak within 45 Minutes",58726.642264346
"ABM","Accessibility","","","","","Run051","Transit Accessibility Peak within 60 Minutes",105265.398031797
"ABM","Accessibility","","","","","Run051","Transit Accessibility Peak within 90 Minutes",171735.250981159
"ABM","Accessibility","","","","","Run051","Transit Accessibility Percetange Peak within 45 Minutes",0.127163488511424
"ABM","Accessibility","","","","","Run051","Transit Accessibility Percentage Peak within 60 Minutes",0.227935988116143
"ABM","Accessibility","","","","","Run051","Transit Accessibility Percentage Peak within 90 Minutes",0.371866205407212
"ABM","Disadvantage Zone Home to Work Commute Time","Mode","Auto","Disadvantage Zone","0","Run051","CommuteTime",20.3567453723384
