"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,1063420
2055,117,61,571117
2055,117,54,63376
2055,117,53,38839.7
2055,117,52,575794
2055,117,51,12192.4
2055,117,43,7919.47
2055,117,42,11216.9
2055,117,41,5774.7
2055,117,32,561885
2055,117,31,5546720
2055,117,21,5842980
2055,117,11,19763.5
2055,116,62,3008770
2055,116,61,1655500
2055,116,54,219002
2055,116,53,126162
2055,116,52,1805180
2055,116,51,45561.4
2055,116,43,32249.2
2055,116,42,42689.2
2055,116,41,23988.2
2055,116,32,1303870
2055,116,31,13040900
2055,116,21,12451600
2055,116,11,47830.9
2055,110,62,858702
2055,110,61,906426
2055,110,54,200512
2055,110,53,67101.9
2055,110,52,1776860
2055,110,51,14501.9
2055,110,43,24182.2
2055,110,42,32519
2055,110,41,10621
2055,110,32,1332630
2055,110,31,11894200
2055,110,21,10371400
2055,110,11,593187
2055,107,62,7089470
2055,107,61,3807460
2055,107,54,422509
2055,107,53,258932
2055,107,52,3838640
2055,107,51,81283.3
2055,107,43,52796.7
2055,107,42,74779.6
2055,107,41,38498.2
2055,107,32,3745920
2055,107,31,36978300
2055,107,21,38953400
2055,107,11,131757
2055,106,62,24070200
2055,106,61,13244000
2055,106,54,1752020
2055,106,53,1009290
2055,106,52,14441500
2055,106,51,364491
2055,106,43,257994
2055,106,42,341514
2055,106,41,191905
2055,106,32,10431000
2055,106,31,104327000
2055,106,21,99613200
2055,106,11,382647
2055,100,62,933865
2055,100,61,985325
2055,100,54,225339
2055,100,53,74620.4
2055,100,52,1988470
2055,100,51,15904.8
2055,100,43,26540.5
2055,100,42,36454.1
2055,100,41,11892.4
2055,100,32,1505160
2055,100,31,13440200
2055,100,21,11724000
2055,100,11,670557
2055,98,62,3.53862e+11
2055,98,61,2.30294e+11
2055,98,54,22505900000
2055,98,53,1.2408e+10
2055,98,52,1.9272e+11
2055,98,51,3970730000
2055,98,43,3043720000
2055,98,42,5863460000
2055,98,41,1994290000
2055,98,32,1.04648e+11
2055,98,31,9.70378e+11
2055,98,21,8.27626e+11
2055,98,11,11026900000
2055,87,62,17554300
2055,87,61,10483400
2055,87,54,7871450
2055,87,53,1560340
2055,87,52,44916100
2055,87,51,529036
2055,87,43,338509
2055,87,42,1247260
2055,87,41,395994
2055,87,32,43418500
2055,87,31,419446000
2055,87,21,372262000
2055,87,11,156348000
2055,3,62,271605000
2055,3,61,154874000
2055,3,54,6442530
2055,3,53,4175910
2055,3,52,90440800
2055,3,51,3972390
2055,3,43,1778000
2055,3,42,3510210
2055,3,41,1487730
2055,3,32,15971700
2055,3,31,104669000
2055,3,21,72076200
2055,3,11,20711600
2055,2,62,447307000
2055,2,61,217700000
2055,2,54,84853800
2055,2,53,19717800
2055,2,52,400932000
2055,2,51,16704700
2055,2,43,5513040
2055,2,42,42351200
2055,2,41,13670300
2055,2,32,341533000
2055,2,31,3507600000
2055,2,21,3769250000
2055,2,11,334625000
