"source","measures","dim1","dim1_value","dim2","dim2_value","Scenario","measure_name","measure_value"
"ABM","Mode Share","Mode","Auto","","","Run073","Trips",1012650
"ABM","Mode Share","Mode","Bike","","","Run073","Trips",20535
"ABM","Mode Share","Mode","SchoolBus","","","Run073","Trips",17191
"ABM","Mode Share","Mode","Taxi","","","Run073","Trips",2946
"ABM","Mode Share","Mode","Transit","","","Run073","Trips",15801
"ABM","Mode Share","Mode","Walk","","","Run073","Trips",140825
"ABM","Mode Share","Mode","Auto","","","Run073","Share",0.836936793977923
"ABM","Mode Share","Mode","Bike","","","Run073","Share",0.0169718037469379
"ABM","Mode Share","Mode","SchoolBus","","","Run073","Share",0.0142080486103535
"ABM","Mode Share","Mode","Taxi","","","Run073","Share",0.00243481538049569
"ABM","Mode Share","Mode","Transit","","","Run073","Share",0.0130592389094407
"ABM","Mode Share","Mode","Walk","","","Run073","Share",0.116389299374849
"ABM","PMT","Mode","Auto","","","Run073","TotalPMT",4911679.34
"ABM","PMT","Mode","Bike","","","Run073","TotalPMT",51991.53
"ABM","PMT","Mode","SchoolBus","","","Run073","TotalPMT",101562.36
"ABM","PMT","Mode","Taxi","","","Run073","TotalPMT",6562.13
"ABM","PMT","Mode","Transit","","","Run073","TotalPMT",105952.1
"ABM","PMT","Mode","Walk","","","Run073","TotalPMT",116998.8
"ABM","PMT","Mode","Auto","","","Run073","PMTRatio",0.927651505626636
"ABM","PMT","Mode","Bike","","","Run073","PMTRatio",0.00981945639072041
"ABM","PMT","Mode","SchoolBus","","","Run073","PMTRatio",0.0191817237338206
"ABM","PMT","Mode","Taxi","","","Run073","PMTRatio",0.00123936628457055
"ABM","PMT","Mode","Transit","","","Run073","PMTRatio",0.0200107984022638
"ABM","PMT","Mode","Walk","","","Run073","PMTRatio",0.0220971495619886
"ABM","VMT","","","","","Run073","VMT",25850160.179772
"ABM","CongestedVMT","","","","","Run073","CongestedVMT",1190905.143001
"ABM","CongestedVMTPCT","","","","","Run073","CongestedVMTPCT",0.0460695459803338
"ABM","VMT","","","","","Run073","VMTPerCapita",21.6670900983034
"ABM","VHT","","","","","Run073","VHT",639193.766329
"ABM","VHT","","","","","Run073","VHTPerCapita",0.535759501256851
"ABM","CommuteTime","Mode","Auto","","","Run073","CommuteTime",21.0368609612674
"ABM","CommuteTime","Mode","Bike","","","Run073","CommuteTime",26.629071680376
"ABM","CommuteTime","Mode","Taxi","","","Run073","CommuteTime",4.2804
"ABM","CommuteTime","Mode","Transit","","","Run073","CommuteTime",66.7563307086614
"ABM","CommuteTime","Mode","Walk","","","Run073","CommuteTime",21.8049639133921
"ABM","AverageTransitTravelTime","","","","","Run073","AverageTransitTravelTime",52.2378589962661
"ABM","HighwayLaneMiles","LINKCLASS","freeway","","","Run073","HighwayLaneMiles",612.284471
"ABM","HighwayLaneMiles","LINKCLASS","parkway","","","Run073","HighwayLaneMiles",43.900421
"ABM","HighwayLaneMiles","LINKCLASS","major_arterial","","","Run073","HighwayLaneMiles",1824.467818
"ABM","HighwayLaneMiles","LINKCLASS","minor_arterial","","","Run073","HighwayLaneMiles",2215.157417
"ABM","HighwayLaneMiles","LINKCLASS","collector","","","Run073","HighwayLaneMiles",280.388718
"ABM","HighwayLaneMiles","LINKCLASS","ramp","","","Run073","HighwayLaneMiles",103.731637
"ABM","HighwayLaneMiles","LINKCLASS","frontage_road","","","Run073","HighwayLaneMiles",172.542579
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","PK","Run073","TransitMilesPerFrequency",113.541925
"ABM","TransitMilesPerFrequency","Mode","Regular","TimePeriod","PK","Run073","TransitMilesPerFrequency",1087.668231
"ABM","TransitMilesPerFrequency","Mode","Express","TimePeriod","PK","Run073","TransitMilesPerFrequency",214.821424
"ABM","TransitMilesPerFrequency","Mode","CatTran","TimePeriod","PK","Run073","TransitMilesPerFrequency",37.540793
"ABM","TransitMilesPerFrequency","Mode","BRT","TimePeriod","PK","Run073","TransitMilesPerFrequency",71.890797
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","OP","Run073","TransitMilesPerFrequency",113.122453
