"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,969784
2055,117,61,520830
2055,117,54,58411
2055,117,53,35796.8
2055,117,52,530683
2055,117,51,11237.4
2055,117,43,7318.68
2055,117,42,10366.1
2055,117,41,5336.67
2055,117,32,519771
2055,117,31,5131000
2055,117,21,5405050
2055,117,11,18385.9
2055,116,62,2038050
2055,116,61,1120280
2055,116,54,162756
2055,116,53,94541.8
2055,116,52,1349120
2055,116,51,34130.2
2055,116,43,24235.8
2055,116,42,31473.6
2055,116,41,17931.9
2055,116,32,1024740
2055,116,31,10214400
2055,116,21,9750700
2055,116,11,37489.2
2055,110,62,821313
2055,110,61,908780
2055,110,54,197411
2055,110,53,65318.2
2055,110,52,1752360
2055,110,51,13840.1
2055,110,43,22765.8
2055,110,42,30997.4
2055,110,41,10073.3
2055,110,32,1322100
2055,110,31,11916300
2055,110,21,11975900
2055,110,11,590513
2055,107,62,6465260
2055,107,61,3472220
2055,107,54,389409
2055,107,53,238646
2055,107,52,3537910
2055,107,51,74916.5
2055,107,43,48791.5
2055,107,42,69107.5
2055,107,41,35578
2055,107,32,3465160
2055,107,31,34206800
2055,107,21,36033800
2055,107,11,122573
2055,106,62,16304400
2055,106,61,8962270
2055,106,54,1302050
2055,106,53,756334
2055,106,52,10792900
2055,106,51,273041
2055,106,43,193886
2055,106,42,251789
2055,106,41,143455
2055,106,32,8197880
2055,106,31,81715200
2055,106,21,78005600
2055,106,11,299913
2055,100,62,893157
2055,100,61,987874
2055,100,54,221894
2055,100,53,72659.5
2055,100,52,1961650
2055,100,51,15168.7
2055,100,43,24996.5
2055,100,42,34748.8
2055,100,41,11279.1
2055,100,32,1493270
2055,100,31,13465200
2055,100,21,13537800
2055,100,11,667534
2055,98,62,3.48971e+11
2055,98,61,2.27846e+11
2055,98,54,22271500000
2055,98,53,12100700000
2055,98,52,1.88912e+11
2055,98,51,3865230000
2055,98,43,2962830000
2055,98,42,5774510000
2055,98,41,1961850000
2055,98,32,1.01428e+11
2055,98,31,9.46953e+11
2055,98,21,9.47303e+11
2055,98,11,10967500000
2055,87,62,17135500
2055,87,61,10186700
2055,87,54,7750200
2055,87,53,1482350
2055,87,52,43870400
2055,87,51,476677
2055,87,43,328722
2055,87,42,1200530
2055,87,41,374653
2055,87,32,42343000
2055,87,31,410706000
2055,87,21,422898000
2055,87,11,153459000
2055,3,62,257094000
2055,3,61,143478000
2055,3,54,5985280
2055,3,53,3746140
2055,3,52,84174000
2055,3,51,3642760
2055,3,43,1641480
2055,3,42,3259610
2055,3,41,1374880
2055,3,32,15540100
2055,3,31,103317000
2055,3,21,85185800
2055,3,11,20962000
2055,2,62,405085000
2055,2,61,197025000
2055,2,54,98841800
2055,2,53,20101000
2055,2,52,411821000
2055,2,51,15635500
2055,2,43,6000280
2055,2,42,47370800
2055,2,41,15245600
2055,2,32,348340000
2055,2,31,3625690000
2055,2,21,4420530000
2055,2,11,330743000
