"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,806142
2055,117,61,432945
2055,117,54,48474.6
2055,117,53,29707.3
2055,117,52,440408
2055,117,51,9325.8
2055,117,43,6070.69
2055,117,42,8598.41
2055,117,41,4426.64
2055,117,32,430988
2055,117,31,4254550
2055,117,21,4481790
2055,117,11,15225.1
2055,116,62,1732950
2055,116,61,952732
2055,116,54,136035
2055,116,53,79035.8
2055,116,52,1127940
2055,116,51,28589.1
2055,116,43,20236
2055,116,42,26285.7
2055,116,41,14955.2
2055,116,32,856690
2055,116,31,8538280
2055,116,21,8150570
2055,116,11,31145
2055,110,62,675831
2055,110,61,743832
2055,110,54,175103
2055,110,53,54390.5
2055,110,52,1582610
2055,110,51,11409.1
2055,110,43,19472.5
2055,110,42,27612.5
2055,110,41,8900.38
2055,110,32,1233990
2055,110,31,11314100
2055,110,21,8700460
2055,110,11,485578
2055,107,62,5374310
2055,107,61,2886310
2055,107,54,323166
2055,107,53,198050
2055,107,52,2936070
2055,107,51,62172.3
2055,107,43,40471.4
2055,107,42,57323
2055,107,41,29511.1
2055,107,32,2873260
2055,107,31,28363800
2055,107,21,29878800
2055,107,11,101501
2055,106,62,13863600
2055,106,61,7621860
2055,106,54,1088280
2055,106,53,632286
2055,106,52,9023550
2055,106,51,228713
2055,106,43,161888
2055,106,42,210286
2055,106,41,119642
2055,106,32,6853510
2055,106,31,68306300
2055,106,21,65204600
2055,106,11,249160
2055,100,62,734953
2055,100,61,808571
2055,100,54,196894
2055,100,53,60514.4
2055,100,52,1772950
2055,100,51,12505.5
2055,100,43,21403.1
2055,100,42,30972.3
2055,100,41,9971.89
2055,100,32,1393840
2055,100,31,12785100
2055,100,21,9835210
2055,100,11,548912
2055,98,62,2.86629e+11
2055,98,61,1.87127e+11
2055,98,54,18266100000
2055,98,53,9941090000
2055,98,52,1.55545e+11
2055,98,51,3178090000
2055,98,43,2437600000
2055,98,42,4741070000
2055,98,41,1609610000
2055,98,32,83830600000
2055,98,31,7.81689e+11
2055,98,21,5.78183e+11
2055,98,11,9018240000
2055,87,62,14071100
2055,87,61,8459500
2055,87,54,7285920
2055,87,53,1318970
2055,87,52,41561300
2055,87,51,396829
2055,87,43,297021
2055,87,42,1046360
2055,87,41,325026
2055,87,32,39842500
2055,87,31,386853000
2055,87,21,309315000
2055,87,11,147230000
2055,3,62,211789000
2055,3,61,118787000
2055,3,54,5201020
2055,3,53,3131500
2055,3,52,74715900
2055,3,51,3021070
2055,3,43,1382400
2055,3,42,2728210
2055,3,41,1144760
2055,3,32,14677700
2055,3,31,98875700
2055,3,21,61044800
2055,3,11,17272300
2055,2,62,335435000
2055,2,61,163457000
2055,2,54,81391100
2055,2,53,16507900
2055,2,52,354234000
2055,2,51,12930600
2055,2,43,4945310
2055,2,42,38370500
2055,2,41,12326700
2055,2,32,297541000
2055,2,31,3057530000
2055,2,21,2887220000
2055,2,11,273603000
