"source","measures","dim1","dim1_value","dim2","dim2_value","Scenario","measure_name","measure_value"
"ABM","Mode Share","Mode","Auto","","","Run042","Trips",1190907
"ABM","Mode Share","Mode","Bike","","","Run042","Trips",26578
"ABM","Mode Share","Mode","SchoolBus","","","Run042","Trips",16771
"ABM","Mode Share","Mode","Taxi","","","Run042","Trips",3114
"ABM","Mode Share","Mode","Transit","","","Run042","Trips",30646
"ABM","Mode Share","Mode","Walk","","","Run042","Trips",172515
"ABM","Mode Share","Mode","Auto","","","Run042","Share",0.826713899249652
"ABM","Mode Share","Mode","Bike","","","Run042","Share",0.0184501409549673
"ABM","Mode Share","Mode","SchoolBus","","","Run042","Share",0.0116422347037308
"ABM","Mode Share","Mode","Taxi","","","Run042","Share",0.00216170287206593
"ABM","Mode Share","Mode","Transit","","","Run042","Share",0.0212740996202095
"ABM","Mode Share","Mode","Walk","","","Run042","Share",0.119757922599375
"ABM","PMT","Mode","Auto","","","Run042","TotalPMT",5704379.06
"ABM","PMT","Mode","Bike","","","Run042","TotalPMT",61060.4
"ABM","PMT","Mode","SchoolBus","","","Run042","TotalPMT",89276.65
"ABM","PMT","Mode","Taxi","","","Run042","TotalPMT",6948.41
"ABM","PMT","Mode","Transit","","","Run042","TotalPMT",219692.24
"ABM","PMT","Mode","Walk","","","Run042","TotalPMT",140871.27
"ABM","PMT","Mode","Auto","","","Run042","PMTRatio",0.916774350360798
"ABM","PMT","Mode","Bike","","","Run042","PMTRatio",0.009813269411793
"ABM","PMT","Mode","SchoolBus","","","Run042","PMTRatio",0.0143480196433752
"ABM","PMT","Mode","Taxi","","","Run042","PMTRatio",0.001116707707673
"ABM","PMT","Mode","Transit","","","Run042","PMTRatio",0.0353076484726645
"ABM","PMT","Mode","Walk","","","Run042","PMTRatio",0.0226400044036959
"ABM","VMT","","","","","Run042","VMT",28273519.612238
"ABM","CongestedVMT","","","","","Run042","CongestedVMT",1565832.721689
"ABM","CongestedVMTPCT","","","","","Run042","CongestedVMTPCT",0.0553815988657896
"ABM","VMT","","","","","Run042","VMTPerCapita",20.031045042801
"ABM","VHT","","","","","Run042","VHT",629868.307033
"ABM","VHT","","","","","Run042","VHTPerCapita",0.44624512979805
"ABM","CommuteTime","Mode","Auto","","","Run042","CommuteTime",19.4727511283616
"ABM","CommuteTime","Mode","Bike","","","Run042","CommuteTime",26.4074137931034
"ABM","CommuteTime","Mode","Taxi","","","Run042","CommuteTime",4.94275862068965
"ABM","CommuteTime","Mode","Transit","","","Run042","CommuteTime",62.36435328818
"ABM","CommuteTime","Mode","Walk","","","Run042","CommuteTime",22.1277347670251
"ABM","AverageTransitTravelTime","","","","","Run042","AverageTransitTravelTime",46.4441078770476
"ABM","HighwayLaneMiles","LINKCLASS","freeway","","","Run042","HighwayLaneMiles",608.017799
"ABM","HighwayLaneMiles","LINKCLASS","parkway","","","Run042","HighwayLaneMiles",43.900421
"ABM","HighwayLaneMiles","LINKCLASS","major_arterial","","","Run042","HighwayLaneMiles",1808.476947
"ABM","HighwayLaneMiles","LINKCLASS","minor_arterial","","","Run042","HighwayLaneMiles",2204.904036
"ABM","HighwayLaneMiles","LINKCLASS","collector","","","Run042","HighwayLaneMiles",280.389408
"ABM","HighwayLaneMiles","LINKCLASS","ramp","","","Run042","HighwayLaneMiles",103.940014
"ABM","HighwayLaneMiles","LINKCLASS","frontage_road","","","Run042","HighwayLaneMiles",172.542579
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","PK","Run042","TransitMilesPerFrequency",164.90328
"ABM","TransitMilesPerFrequency","Mode","Regular","TimePeriod","PK","Run042","TransitMilesPerFrequency",1577.69588
"ABM","TransitMilesPerFrequency","Mode","Express","TimePeriod","PK","Run042","TransitMilesPerFrequency",308.161729
"ABM","TransitMilesPerFrequency","Mode","CatTran","TimePeriod","PK","Run042","TransitMilesPerFrequency",53.852336
"ABM","TransitMilesPerFrequency","Mode","BRT","TimePeriod","PK","Run042","TransitMilesPerFrequency",103.127481
"ABM","TransitMilesPerFrequency","Mode","Rural","TimePeriod","OP","Run042","TransitMilesPerFrequency",162.274367
"ABM","TransitMilesPerFrequency","Mode","Regular","TimePeriod","OP","Run042","TransitMilesPerFrequency",1265.41977
