"yearID","pollutantID","sourceTypeID","emissionQuant"
2055,117,62,935412
2055,117,61,502370
2055,117,54,56269.7
2055,117,53,34484.5
2055,117,52,511229
2055,117,51,10825.4
2055,117,43,7045.58
2055,117,42,9979.23
2055,117,41,5137.51
2055,117,32,500129
2055,117,31,4937090
2055,117,21,5200790
2055,117,11,17657.3
2055,116,62,2148540
2055,116,61,1181340
2055,116,54,166537
2055,116,53,96527
2055,116,52,1378600
2055,116,51,34953
2055,116,43,24577.4
2055,116,42,32102.5
2055,116,41,18305.6
2055,116,32,1035390
2055,116,31,10333000
2055,116,21,9860140
2055,116,11,37771.9
2055,110,62,779674
2055,110,61,852756
2055,110,54,190265
2055,110,53,61959.4
2055,110,52,1699330
2055,110,51,13169.3
2055,110,43,21997.1
2055,110,42,30202.1
2055,110,41,9801.22
2055,110,32,1295300
2055,110,31,11711800
2055,110,21,12755700
2055,110,11,555171
2055,107,62,6236110
2055,107,61,3349150
2055,107,54,375133
2055,107,53,229898
2055,107,52,3408210
2055,107,51,72170
2055,107,43,46970.7
2055,107,42,66528.5
2055,107,41,34250.3
2055,107,32,3334210
2055,107,31,32914100
2055,107,21,34672100
2055,107,11,117716
2055,106,62,17188300
2055,106,61,9450720
2055,106,54,1332290
2055,106,53,772216
2055,106,52,11028800
2055,106,51,279624
2055,106,43,196619
2055,106,42,256820
2055,106,41,146445
2055,106,32,8283090
2055,106,31,82663800
2055,106,21,78881100
2055,106,11,302175
2055,100,62,847888
2055,100,61,926976
2055,100,54,213877
2055,100,53,68921.4
2055,100,52,1902590
2055,100,51,14436.5
2055,100,43,24157.2
2055,100,42,33863.5
2055,100,41,10976.6
2055,100,32,1463040
2055,100,31,13234300
2055,100,21,14419300
2055,100,11,627582
2055,98,62,3.28749e+11
2055,98,61,2.14533e+11
2055,98,54,20943200000
2055,98,53,11427500000
2055,98,52,1.78302e+11
2055,98,51,3655070000
2055,98,43,2802700000
2055,98,42,5440440000
2055,98,41,1847420000
2055,98,32,9.6161e+10
2055,98,31,8.95952e+11
2055,98,21,9.86101e+11
2055,98,11,10293800000
2055,87,62,16172200
2055,87,61,9668680
2055,87,54,7618580
2055,87,53,1444740
2055,87,52,43327500
2055,87,51,462147
2055,87,43,320148
2055,87,42,1157940
2055,87,41,362600
2055,87,32,41747700
2055,87,31,404663000
2055,87,21,457332000
2055,87,11,151947000
2055,3,62,244745000
2055,3,61,137645000
2055,3,54,5823490
2055,3,53,3638060
2055,3,52,82429800
2055,3,51,3509900
2055,3,43,1582920
2055,3,42,3132800
2055,3,41,1322590
2055,3,32,15352200
2055,3,31,102139000
2055,3,21,92329000
2055,3,11,19598500
2055,2,62,390216000
2055,2,61,190207000
2055,2,54,89638800
2055,2,53,18774800
2055,2,52,389519000
2055,2,51,14951700
2055,2,43,5525180
2055,2,42,43016400
2055,2,41,13820400
2055,2,32,330061000
2055,2,31,3412240000
2055,2,21,4558910000
2055,2,11,311421000
