model_id,model_name,r-squared,variable_name,Coefficient,StdError,t-Statistic,p
1,AM Travel Time Index,0.8768790018364154,AV_Rates,-0.24253520522071118,0.010686421238002335,-22.695643360774863,0.0
1,AM Travel Time Index,0.8768790018364154,EV_Rates,0.03441862351701348,0.011100619317929484,3.1006038970655676,0.0024798571700470617
1,AM Travel Time Index,0.8768790018364154,Ecommerce,0.1541513158798575,0.05414352803507649,2.84708665050404,0.005308047528437276
1,AM Travel Time Index,0.8768790018364154,HH_EMP_Distribution,0.0077043088587485375,0.010716773587263417,0.7189018967336299,0.4737982176752884
1,AM Travel Time Index,0.8768790018364154,HH_EMP_Growth,0.1074438672893226,0.010876393492336168,9.87863002244547,0.0
1,AM Travel Time Index,0.8768790018364154,Heavy_Medium_Truck_Travel,0.017979835764438186,0.010747984769502138,1.6728564610043672,0.09733261054562492
1,AM Travel Time Index,0.8768790018364154,Incentives_Special_AreaPop,0.001663789372478977,0.021542036811172803,0.0772345431893446,0.9385839443159849
1,AM Travel Time Index,0.8768790018364154,Road_User_Fee,-0.23969440801363526,0.10860013466714705,-2.2071280919520437,0.029481856043912735
1,AM Travel Time Index,0.8768790018364154,Roadway_Capacity_Improvement==All,-0.007133857082950999,,,
1,AM Travel Time Index,0.8768790018364154,Roadway_Capacity_Improvement==High,0.013379736003824413,,,
1,AM Travel Time Index,0.8768790018364154,Roadway_Capacity_Improvement==High and Medium,-0.00624587892087389,,,
1,AM Travel Time Index,0.8768790018364154,Teleworking,-0.13537961167319262,0.03478372401293009,-3.892039035925774,0.00017485025239505347
1,AM Travel Time Index,0.8768790018364154,Transit_Headways,-0.007686154737747381,0.00712947538687124,-1.0780813903784918,0.28346793989320873
1,AM Travel Time Index,0.8768790018364154,Transit_Service_Expansion==Expansion,0.0005793662528429878,189968.9824101712,3.049793947898558e-09,0.9999999975724034
1,AM Travel Time Index,0.8768790018364154,Transit_Service_Expansion==No Expansion,-0.000579366252842764,189968.98241017322,-3.0497939478973475e-09,0.9999999975724034
1,AM Travel Time Index,0.8768790018364154,_Intercept_,1.4638020579717255,,,
2,Auto Accessibility Peak,0.8261483006752697,AV_Rates,20661.64387085992,1036.6373872707095,19.931409116218088,0.0
2,Auto Accessibility Peak,0.8261483006752697,EV_Rates,-3437.1534759325523,1076.816714458498,-3.1919577675398583,0.0018646179654553396
2,Auto Accessibility Peak,0.8261483006752697,Ecommerce,-14313.056606177623,5252.198485336166,-2.725155312796888,0.007531134367491532
2,Auto Accessibility Peak,0.8261483006752697,HH_EMP_Distribution,3886.2747868202405,1039.5817200211018,3.7383061975554512,0.00030193795964295056
2,Auto Accessibility Peak,0.8261483006752697,HH_EMP_Growth,-2808.930885377798,1055.0656652695438,-2.6623280216972884,0.008981019458063066
2,Auto Accessibility Peak,0.8261483006752697,Heavy_Medium_Truck_Travel,-1262.0155449554334,1042.6093639524977,-1.2104394882577825,0.22882803846908017
2,Auto Accessibility Peak,0.8261483006752697,Incentives_Special_AreaPop,-1147.838749036048,2089.687488362392,-0.5492872764125919,0.5839746282322489
2,Auto Accessibility Peak,0.8261483006752697,Road_User_Fee,7370.868947366756,10534.7671920561,0.6996707960404546,0.4856801174950096
2,Auto Accessibility Peak,0.8261483006752697,Roadway_Capacity_Improvement==All,295.8986190847777,,,
2,Auto Accessibility Peak,0.8261483006752697,Roadway_Capacity_Improvement==High,-689.7272229251399,,,
2,Auto Accessibility Peak,0.8261483006752697,Roadway_Capacity_Improvement==High and Medium,393.8286038403922,,,
2,Auto Accessibility Peak,0.8261483006752697,Teleworking,15707.138408465267,3374.1987122949886,4.655072136454563,9.505808231669022e-06
2,Auto Accessibility Peak,0.8261483006752697,Transit_Headways,1353.2327649271085,691.5954904879466,1.95668245895061,0.0530403830862447
2,Auto Accessibility Peak,0.8261483006752697,Transit_Service_Expansion==Expansion,-194.54313863715794,18427960605.54395,-1.0556954337021468e-08,0.9999999915968003
2,Auto Accessibility Peak,0.8261483006752697,Transit_Service_Expansion==No Expansion,194.54313863714066,18427960605.544147,1.0556954337020416e-08,0.9999999915968003
2,Auto Accessibility Peak,0.8261483006752697,_Intercept_,36805.6530842792,,,
3,Auto Accessibility Peak within 30 Minutes,0.8548029086157916,AV_Rates,114829.4206466337,5151.70110789296,22.28961235167597,0.0
3,Auto Accessibility Peak within 30 Minutes,0.8548029086157916,EV_Rates,-17980.276491073433,5351.377375534335,-3.3599343177097656,0.001087669290417148
