"fuelRegionID","fuelYearID","monthGroupID","fuelFormulationID","marketShare","marketShareCV"
600000000,2055,1,90,1.0,0.5
600000000,2055,1,9022,1.0,0.5
600000000,2055,1,25003,1.0,0.5
600000000,2055,1,27001,1.0,0.5
600000000,2055,1,28001,1.0,0.5
600000000,2055,2,90,1.0,0.5
600000000,2055,2,9022,1.0,0.5
600000000,2055,2,25003,1.0,0.5
600000000,2055,2,27001,1.0,0.5
600000000,2055,2,28001,1.0,0.5
600000000,2055,3,90,1.0,0.5
600000000,2055,3,9022,1.0,0.5
600000000,2055,3,25003,1.0,0.5
600000000,2055,3,27001,1.0,0.5
600000000,2055,3,28001,1.0,0.5
600000000,2055,4,90,1.0,0.5
600000000,2055,4,9023,1.0,0.5
600000000,2055,4,25003,1.0,0.5
600000000,2055,4,27001,1.0,0.5
600000000,2055,4,28001,1.0,0.5
600000000,2055,5,90,1.0,0.5
600000000,2055,5,9021,1.0,0.5
600000000,2055,5,25003,1.0,0.5
600000000,2055,5,27002,1.0,0.5
600000000,2055,5,28001,1.0,0.5
600000000,2055,6,90,1.0,0.5
600000000,2055,6,9021,1.0,0.5
600000000,2055,6,25003,1.0,0.5
600000000,2055,6,27002,1.0,0.5
600000000,2055,6,28001,1.0,0.5
600000000,2055,7,90,1.0,0.5
600000000,2055,7,9021,1.0,0.5
600000000,2055,7,25003,1.0,0.5
600000000,2055,7,27002,1.0,0.5
600000000,2055,7,28001,1.0,0.5
600000000,2055,8,90,1.0,0.5
600000000,2055,8,9021,1.0,0.5
600000000,2055,8,25003,1.0,0.5
600000000,2055,8,27002,1.0,0.5
600000000,2055,8,28001,1.0,0.5
600000000,2055,9,90,1.0,0.5
600000000,2055,9,9021,1.0,0.5
600000000,2055,9,25003,1.0,0.5
600000000,2055,9,27002,1.0,0.5
600000000,2055,9,28001,1.0,0.5
600000000,2055,10,90,1.0,0.5
600000000,2055,10,9023,1.0,0.5
600000000,2055,10,25003,1.0,0.5
600000000,2055,10,27001,1.0,0.5
600000000,2055,10,28001,1.0,0.5
600000000,2055,11,90,1.0,0.5
600000000,2055,11,9022,1.0,0.5
600000000,2055,11,25003,1.0,0.5
600000000,2055,11,27001,1.0,0.5
600000000,2055,11,28001,1.0,0.5
600000000,2055,12,90,1.0,0.5
600000000,2055,12,9022,1.0,0.5
600000000,2055,12,25003,1.0,0.5
600000000,2055,12,27001,1.0,0.5
600000000,2055,12,28001,1.0,0.5
