"fuelRegionID","fuelYearID","monthGroupID","fuelFormulationID","marketShare","marketShareCV"
600000000,2023,1,90,1.0,0.5
600000000,2023,1,9022,1.0,0.5
600000000,2023,1,25003,1.0,0.5
600000000,2023,1,27001,1.0,0.5
600000000,2023,1,28001,1.0,0.5
600000000,2023,2,90,1.0,0.5
600000000,2023,2,9022,1.0,0.5
600000000,2023,2,25003,1.0,0.5
600000000,2023,2,27001,1.0,0.5
600000000,2023,2,28001,1.0,0.5
600000000,2023,3,90,1.0,0.5
600000000,2023,3,9022,1.0,0.5
600000000,2023,3,25003,1.0,0.5
600000000,2023,3,27001,1.0,0.5
600000000,2023,3,28001,1.0,0.5
600000000,2023,4,90,1.0,0.5
600000000,2023,4,9023,1.0,0.5
600000000,2023,4,25003,1.0,0.5
600000000,2023,4,27001,1.0,0.5
600000000,2023,4,28001,1.0,0.5
600000000,2023,5,90,1.0,0.5
600000000,2023,5,9021,1.0,0.5
600000000,2023,5,25003,1.0,0.5
600000000,2023,5,27002,1.0,0.5
600000000,2023,5,28001,1.0,0.5
600000000,2023,6,90,1.0,0.5
600000000,2023,6,9021,1.0,0.5
600000000,2023,6,25003,1.0,0.5
600000000,2023,6,27002,1.0,0.5
600000000,2023,6,28001,1.0,0.5
600000000,2023,7,90,1.0,0.5
600000000,2023,7,9021,1.0,0.5
600000000,2023,7,25003,1.0,0.5
600000000,2023,7,27002,1.0,0.5
600000000,2023,7,28001,1.0,0.5
600000000,2023,8,90,1.0,0.5
600000000,2023,8,9021,1.0,0.5
600000000,2023,8,25003,1.0,0.5
600000000,2023,8,27002,1.0,0.5
600000000,2023,8,28001,1.0,0.5
600000000,2023,9,90,1.0,0.5
600000000,2023,9,9021,1.0,0.5
600000000,2023,9,25003,1.0,0.5
600000000,2023,9,27002,1.0,0.5
600000000,2023,9,28001,1.0,0.5
600000000,2023,10,90,1.0,0.5
600000000,2023,10,9023,1.0,0.5
600000000,2023,10,25003,1.0,0.5
600000000,2023,10,27001,1.0,0.5
600000000,2023,10,28001,1.0,0.5
600000000,2023,11,90,1.0,0.5
600000000,2023,11,9022,1.0,0.5
600000000,2023,11,25003,1.0,0.5
600000000,2023,11,27001,1.0,0.5
600000000,2023,11,28001,1.0,0.5
600000000,2023,12,90,1.0,0.5
600000000,2023,12,9022,1.0,0.5
600000000,2023,12,25003,1.0,0.5
600000000,2023,12,27001,1.0,0.5
600000000,2023,12,28001,1.0,0.5
