"polProcessID","stateID","countyID","yearID","sourceTypeID","fuelTypeID","IMProgramID","inspectFreq","testStandardsID","begModelYearID","endModelYearID","useIMyn","complianceFactor"
202,4,4019,2055,31,1,1,1,11,1967,1980,"Y",87.208
202,4,4019,2055,31,1,3,1,13,1981,1995,"Y",87.208
202,4,4019,2055,31,1,10,1,51,1996,2049,"Y",87.208
202,4,4019,2055,31,5,201,1,11,1967,1980,"Y",87.208
202,4,4019,2055,31,5,203,1,13,1981,1995,"Y",87.208
202,4,4019,2055,31,5,210,1,51,1996,2049,"Y",87.208
202,4,4019,2055,32,1,1,1,11,1967,1980,"Y",67.322
202,4,4019,2055,32,1,3,1,13,1981,1995,"Y",67.322
202,4,4019,2055,32,1,10,1,51,1996,2049,"Y",67.322
202,4,4019,2055,32,5,201,1,11,1967,1980,"Y",67.322
202,4,4019,2055,32,5,203,1,13,1981,1995,"Y",67.322
202,4,4019,2055,32,5,210,1,51,1996,2049,"Y",67.322
202,4,4019,2055,52,1,1,1,11,1967,1980,"Y",54.025
202,4,4019,2055,52,1,3,1,13,1981,2039,"Y",54.025
301,4,4019,2055,21,1,3,1,13,1981,1995,"Y",92.769
301,4,4019,2055,21,1,10,1,51,1996,2049,"Y",92.769
301,4,4019,2055,21,5,203,1,13,1981,1995,"Y",92.769
301,4,4019,2055,21,5,210,1,51,1996,2049,"Y",92.769
301,4,4019,2055,31,1,3,1,13,1981,1995,"Y",87.208
301,4,4019,2055,31,1,10,1,51,1996,2049,"Y",87.208
301,4,4019,2055,31,5,203,1,13,1981,1995,"Y",87.208
301,4,4019,2055,31,5,210,1,51,1996,2049,"Y",87.208
301,4,4019,2055,32,1,3,1,13,1981,1995,"Y",67.322
301,4,4019,2055,32,1,10,1,51,1996,2049,"Y",67.322
301,4,4019,2055,32,5,203,1,13,1981,1995,"Y",67.322
301,4,4019,2055,32,5,210,1,51,1996,2049,"Y",67.322
301,4,4019,2055,52,1,3,1,13,1981,2039,"Y",54.025
302,4,4019,2055,21,1,3,1,13,1981,1995,"Y",92.769
302,4,4019,2055,21,1,10,1,51,1996,2049,"Y",92.769
302,4,4019,2055,21,5,203,1,13,1981,1995,"Y",92.769
