yearID,sourceTypeID,sourceTypePopulation
2055,11,31073
2055,21,399049
2055,31,380689
2055,32,37057
2055,41,53
2055,42,159
2055,43,317
2055,51,173
2055,52,25594
2055,53,1142
2055,54,5890
2055,61,3166
2055,62,2117
