sourceTypeID,yearID,ageID,ageFraction
11,2055,0,0.055289345
11,2055,1,0.055866365
11,2055,2,0.055355675
11,2055,3,0.052838848
11,2055,4,0.050373544
11,2055,5,0.047874199
11,2055,6,0.045327847
11,2055,7,0.043109943
11,2055,8,0.041157153
11,2055,9,0.039231384
11,2055,10,0.037296439
11,2055,11,0.035539295
11,2055,12,0.034035971
11,2055,13,0.032584207
11,2055,14,0.03112758
11,2055,15,0.029624124
11,2055,16,0.027999741
11,2055,17,0.026815575
11,2055,18,0.025667914
11,2055,19,0.024793682
11,2055,20,0.023890522
11,2055,21,0.023024797
11,2055,22,0.022114825
11,2055,23,0.021485223
11,2055,24,0.020739897
11,2055,25,0.019993881
11,2055,26,0.019282295
11,2055,27,0.018346643
11,2055,28,0.017653126
11,2055,29,0.016882688
11,2055,30,0.004677268
21,2055,0,0.060714428
21,2055,1,0.060434831
21,2055,2,0.060159048
21,2055,3,0.059877506
21,2055,4,0.059413828
21,2055,5,0.058823176
21,2055,6,0.05756468
21,2055,7,0.056533788
21,2055,8,0.055222894
21,2055,9,0.053992132
21,2055,10,0.051542642
21,2055,11,0.049664557
21,2055,12,0.047769926
21,2055,13,0.044591022
21,2055,14,0.039335411
21,2055,15,0.033971319
21,2055,16,0.028659483
21,2055,17,0.023849985
21,2055,18,0.019638522
21,2055,19,0.01608331
21,2055,20,0.013002835
21,2055,21,0.010534029
21,2055,22,0.008531314
21,2055,23,0.006924827
21,2055,24,0.005584657
21,2055,25,0.004525384
21,2055,26,0.003656617
21,2055,27,0.002928859
21,2055,28,0.002392991
21,2055,29,0.001936086
21,2055,30,0.002139914
31,2055,0,0.053310905
31,2055,1,0.052771965
31,2055,2,0.052221261
31,2055,3,0.051656264
31,2055,4,0.050871296
31,2055,5,0.049953889
31,2055,6,0.04878667
31,2055,7,0.047463414
31,2055,8,0.04620009
31,2055,9,0.04456627
31,2055,10,0.042865885
31,2055,11,0.040785569
31,2055,12,0.038826452
31,2055,13,0.036730238
31,2055,14,0.034581712
31,2055,15,0.032172663
31,2055,16,0.029611376
31,2055,17,0.027172975
31,2055,18,0.024872175
31,2055,19,0.022741732
31,2055,20,0.020745159
31,2055,21,0.018894482
31,2055,22,0.017272726
31,2055,23,0.01584787
31,2055,24,0.014510986
31,2055,25,0.013252029
31,2055,26,0.012107748
31,2055,27,0.010932989
31,2055,28,0.009941537
31,2055,29,0.008996817
31,2055,30,0.029334856
32,2055,0,0.053310905
32,2055,1,0.052734965
32,2055,2,0.052146369
32,2055,3,0.051542598
32,2055,4,0.050718561
32,2055,5,0.049758568
32,2055,6,0.048549499
32,2055,7,0.047579463
32,2055,8,0.046396162
32,2055,9,0.044794918
32,2055,10,0.04308141
32,2055,11,0.040965306
32,2055,12,0.038964214
32,2055,13,0.036831213
32,2055,14,0.034649348
32,2055,15,0.032193758
32,2055,16,0.029589119
32,2055,17,0.027127494
32,2055,18,0.024794462
32,2055,19,0.022615148
32,2055,20,0.02058351
32,2055,21,0.018686911
32,2055,22,0.017016799
32,2055,23,0.01555504
32,2055,24,0.014186642
32,2055,25,0.012910546
32,2055,26,0.0117532
32,2055,27,0.010573994
32,2055,28,0.009578907
32,2055,29,0.00863234
32,2055,30,0.03217863
41,2055,0,0.042200583
41,2055,1,0.042323627
41,2055,2,0.042438659
41,2055,3,0.042540657
41,2055,4,0.0426257
41,2055,5,0.042549375
41,2055,6,0.042102361
41,2055,7,0.041701986
41,2055,8,0.040992063
41,2055,9,0.040421444
