sourceTypeID,yearID,ageID,ageFraction
11,2023,0,0.054937921
11,2023,1,0.051242918
11,2023,2,0.039952727
11,2023,3,0.035357741
11,2023,4,0.03720809
11,2023,5,0.037409214
11,2023,6,0.035438191
11,2023,7,0.037570114
11,2023,8,0.042718909
11,2023,9,0.040546761
11,2023,10,0.036081791
11,2023,11,0.032622444
11,2023,12,0.022928228
11,2023,13,0.019991806
11,2023,14,0.04223621
11,2023,15,0.042799359
11,2023,16,0.055711572
11,2023,17,0.053378524
11,2023,18,0.049034228
11,2023,19,0.034191217
11,2023,20,0.041632835
11,2023,21,0.03145592
11,2023,22,0.02634735
11,2023,23,0.024175202
11,2023,24,0.016974934
11,2023,25,0.013998287
11,2023,26,0.011946814
11,2023,27,0.01069984
11,2023,28,0.008929941
11,2023,29,0.007803643
11,2023,30,0.004677268
21,2023,0,0.042518101
21,2023,1,0.040005551
21,2023,2,0.048214047
21,2023,3,0.052979859
21,2023,4,0.0525675
21,2023,5,0.05549137
21,2023,6,0.063760227
21,2023,7,0.061857423
21,2023,8,0.068092191
21,2023,9,0.057823481
21,2023,10,0.06138464
21,2023,11,0.050373443
21,2023,12,0.037147375
21,2023,13,0.035716002
21,2023,14,0.027985841
21,2023,15,0.032771982
21,2023,16,0.035251812
21,2023,17,0.029729817
21,2023,18,0.027003367
21,2023,19,0.022060898
21,2023,20,0.019617536
21,2023,21,0.01595287
21,2023,22,0.013553191
21,2023,23,0.012540687
21,2023,24,0.009279342
21,2023,25,0.007523069
21,2023,26,0.006029937
21,2023,27,0.004266477
21,2023,28,0.003699045
21,2023,29,0.002663006
21,2023,30,0.002139914
31,2023,0,0.064783431
31,2023,1,0.061833768
31,2023,2,0.068136432
31,2023,3,0.06471916
31,2023,4,0.055424252
31,2023,5,0.055920141
31,2023,6,0.054362078
31,2023,7,0.049302307
31,2023,8,0.047187166
31,2023,9,0.039789726
31,2023,10,0.034480904
31,2023,11,0.029809255
31,2023,12,0.030022209
31,2023,13,0.023640951
31,2023,14,0.017515576
31,2023,15,0.029142141
31,2023,16,0.029936064
31,2023,17,0.028745116
31,2023,18,0.028663427
31,2023,19,0.028257898
31,2023,20,0.024064263
31,2023,21,0.021452239
31,2023,22,0.017926242
31,2023,23,0.015808538
31,2023,24,0.013255783
31,2023,25,0.009854245
31,2023,26,0.009202989
31,2023,27,0.006204082
31,2023,28,0.00606772
31,2023,29,0.005157042
31,2023,30,0.029334856
32,2023,0,0.064783431
32,2023,1,0.061577501
32,2023,2,0.067632847
32,2023,3,0.064041745
32,2023,4,0.121810597
32,2023,5,0.077435636
32,2023,6,0.068638254
32,2023,7,0.055368556
32,2023,8,0.049161552
32,2023,9,0.039326669
32,2023,10,0.03392355
32,2023,11,0.028759843
32,2023,12,0.025715903
32,2023,13,0.018085498
32,2023,14,0.014201564
32,2023,15,0.024770434
32,2023,16,0.021228201
32,2023,17,0.021769642
32,2023,18,0.01810653
32,2023,19,0.016347365
32,2023,20,0.013830273
32,2023,21,0.01168664
32,2023,22,0.010560099
32,2023,23,0.009406247
32,2023,24,0.00796316
32,2023,25,0.005487862
32,2023,26,0.005514273
32,2023,27,0.003716749
32,2023,28,0.003790753
32,2023,29,0.003179999
32,2023,30,0.03217863
41,2023,0,0.052424848
41,2023,1,0.051046283
41,2023,2,0.063393648
41,2023,3,0.062217883
41,2023,4,0.053809096
41,2023,5,0.049322525
41,2023,6,0.056086568
41,2023,7,0.058123889
41,2023,8,0.049625253
41,2023,9,0.041627572
41,2023,10,0.042578403
41,2023,11,0.030734967
41,2023,12,0.031082738
41,2023,13,0.029873785
41,2023,14,0.032980563
41,2023,15,0.031456796
41,2023,16,0.033095419
