"MOVESRunID","iterationID","yearID","monthID","dayID","hourID","stateID","countyID","zoneID","linkID","sourceTypeID","regClassID","fuelTypeID","fuelSubTypeID","modelYearID","roadTypeID","SCC","engTechID","sectorID","hpID","activityTypeID","activity","activityMean","activitySigma"
"1","1","2022","12","5",\N,"4","4019",\N,\N,"41",\N,\N,\N,\N,"1",\N,\N,\N,\N,"5","19872.6",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"32",\N,\N,\N,\N,"1",\N,\N,\N,\N,"5","897613",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"31",\N,\N,\N,\N,"1",\N,\N,\N,\N,"5","7687910",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"21",\N,\N,\N,\N,"1",\N,\N,\N,\N,"5","6979650",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"11",\N,\N,\N,\N,"1",\N,\N,\N,\N,"5","566299",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"62",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","10156.7",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"61",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","4080.12",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"54",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","673.264",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"53",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","1104.11",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"52",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","18116.9",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"51",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","177.13",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"43",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","868.908",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"42",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","616.776",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"41",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","1873.27",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"32",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","37143.2",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"31",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","286635",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"21",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","263172",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"11",\N,\N,\N,\N,"5",\N,\N,\N,\N,"4","1291.2",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"62",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","4760.22",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"61",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","1167.57",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"54",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","106.654",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"53",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","209.243",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"52",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","3185.03",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"51",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","32.8021",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"43",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","121.704",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"42",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","106.79",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"41",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","268.768",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"32",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","5760.74",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"31",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","40480.1",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"21",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","39810.9",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"11",\N,\N,\N,\N,"4",\N,\N,\N,\N,"4","149.184",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"62",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","1237.69",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"61",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","430.849",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"54",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","44.5892",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"53",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","74.212",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"52",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","1171.24",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"51",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","11.2604",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"43",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","51.937",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"42",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","28.5482",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"41",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","88.7654",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"32",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","1422.71",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"31",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","13673.4",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"21",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","8892.73",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"11",\N,\N,\N,\N,"3",\N,\N,\N,\N,"4","57.2113",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"62",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","2679.26",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"61",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","354.674",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"54",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","29.4847",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"53",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","49.4795",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"52",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","733.155",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"51",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","7.19139",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"43",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","32.1329",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"42",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","20.164",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"41",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","63.8486",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"32",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","738.852",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"31",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","6765.14",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"21",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","4825.88",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"11",\N,\N,\N,\N,"2",\N,\N,\N,\N,"4","23.9188",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"62",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","1640.11",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"61",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","2242.77",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"54",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","0",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"53",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","529.043",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"52",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","8349.97",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"51",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","137.61",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"43",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","102.552",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"42",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","184.13",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"41",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","957.567",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"32",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","5676.08",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"31",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","50341.9",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"21",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","43130.9",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"11",\N,\N,\N,\N,"1",\N,\N,\N,\N,"4","0",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"62",\N,\N,\N,\N,"1",\N,\N,\N,\N,"3","2116.08",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"62",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","10156.7",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"61",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","4080.12",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"54",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","673.264",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"53",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","1104.11",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"52",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","18116.9",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"51",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","177.13",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"43",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","868.908",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"42",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","616.776",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"41",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","1873.27",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"32",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","37143.2",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"31",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","286635",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"21",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","263172",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"11",\N,\N,\N,\N,"5",\N,\N,\N,\N,"2","1291.2",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"62",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","4760.22",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"61",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","1167.57",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"54",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","106.654",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"53",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","209.243",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"52",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","3185.03",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"51",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","32.8021",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"43",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","121.704",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"42",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","106.79",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"41",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","268.768",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"32",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","5760.74",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"31",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","40480.1",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"21",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","39810.9",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"11",\N,\N,\N,\N,"4",\N,\N,\N,\N,"2","149.184",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"62",\N,\N,\N,\N,"3",\N,\N,\N,\N,"2","1237.69",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"61",\N,\N,\N,\N,"3",\N,\N,\N,\N,"2","430.849",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"54",\N,\N,\N,\N,"3",\N,\N,\N,\N,"2","44.5892",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"53",\N,\N,\N,\N,"3",\N,\N,\N,\N,"2","74.212",\N,\N
"1","1","2022","12","5",\N,"4","4019",\N,\N,"52",\N,\N,\N,\N,"3",\N,\N,\N,\N,"2","1171.24",\N,\N
